District,Region,Source_District_Match,Major_Water_Bodies_Reference,Has_Wetland,Has_Lake,Has_River,Source_Notes_Changes,Proximity_Score_2020,Proximity_Category_2020,Est_Distance_km_2020,Proximity_Score_2021,Proximity_Category_2021,Est_Distance_km_2021,Proximity_Score_2022,Proximity_Category_2022,Est_Distance_km_2022,Proximity_Score_2023,Proximity_Category_2023,Est_Distance_km_2023,Proximity_Score_2024,Proximity_Category_2024,Est_Distance_km_2024,Avg_Proximity_Score_2020_2024,Data_Source_Note
Kamuli,Eastern,Kamuli,Nile River (Victoria Nile); seasonal wetlands,1,0,1,Stable.,0.836,"Very Near (Adjacent, 0-2 km)",5.7,0.815,"Very Near (Adjacent, 0-2 km)",6.2,0.821,"Very Near (Adjacent, 0-2 km)",6.5,0.824,"Very Near (Adjacent, 0-2 km)",7.8,0.802,"Very Near (Adjacent, 0-2 km)",7.9,0.82,
Kapchorwa,Eastern,Kapchorwa,Minor rivers; Mt. Elgon wetlands,1,0,1,Stable.,0.821,"Very Near (Adjacent, 0-2 km)",6.3,0.798,"Very Near (Adjacent, 0-2 km)",8.7,0.824,"Very Near (Adjacent, 0-2 km)",7.0,0.801,"Very Near (Adjacent, 0-2 km)",8.5,0.813,"Very Near (Adjacent, 0-2 km)",7.0,0.811,
Kapelebyong,Eastern,Amuria,Minor rivers; seasonal wetlands,1,0,1,Stable; minor encroachment noted (2021).,0.819,"Very Near (Adjacent, 0-2 km)",6.7,0.735,Near (2-10 km),10.0,0.824,"Very Near (Adjacent, 0-2 km)",7.3,0.834,"Very Near (Adjacent, 0-2 km)",5.5,0.81,"Very Near (Adjacent, 0-2 km)",8.3,0.804,Proxy from Amuria (nearest/parent district; no direct record for Kapelebyong)
Katakwi,Eastern,Katakwi,Lake Opeta; minor rivers,0,1,1,Stable; part of Kyoga system.,0.271,Far (>25 km),27.4,0.282,Far (>25 km),26.4,0.257,Far (>25 km),27.2,0.273,Far (>25 km),27.6,0.259,Far (>25 km),28.0,0.268,
Kibuku,Eastern,Kibuku,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.807,"Very Near (Adjacent, 0-2 km)",7.8,0.827,"Very Near (Adjacent, 0-2 km)",6.3,0.831,"Very Near (Adjacent, 0-2 km)",5.3,0.819,"Very Near (Adjacent, 0-2 km)",6.0,0.801,"Very Near (Adjacent, 0-2 km)",7.7,0.817,
Kumi,Eastern,Kumi,Lake Kyoga; Lake Opeta fringes,0,1,0,Stable.,0.587,Near (2-10 km),14.7,0.589,Near (2-10 km),15.3,0.617,Near (2-10 km),14.0,0.588,Near (2-10 km),16.3,0.616,Near (2-10 km),15.8,0.599,
Kween,Eastern,Kapchorwa,Minor rivers; Mt. Elgon wetlands,1,0,1,Stable.,0.799,"Very Near (Adjacent, 0-2 km)",6.8,0.814,"Very Near (Adjacent, 0-2 km)",8.2,0.818,"Very Near (Adjacent, 0-2 km)",7.8,0.806,"Very Near (Adjacent, 0-2 km)",7.3,0.824,"Very Near (Adjacent, 0-2 km)",6.0,0.812,Proxy from Kapchorwa (nearest/parent district; no direct record for Kween)
Luuka,Eastern,Luuka,Nile River (Victoria Nile),0,0,1,Stable.,0.084,Far (>25 km),35.6,0.096,Far (>25 km),34.8,0.096,Far (>25 km),35.5,0.088,Far (>25 km),34.1,0.072,Far (>25 km),34.2,0.087,
Manafwa,Eastern,Manafwa,Manafwa River; minor wetlands,1,0,1,Stable.,0.833,"Very Near (Adjacent, 0-2 km)",6.5,0.821,"Very Near (Adjacent, 0-2 km)",7.7,0.824,"Very Near (Adjacent, 0-2 km)",6.4,0.82,"Very Near (Adjacent, 0-2 km)",5.8,0.807,"Very Near (Adjacent, 0-2 km)",7.0,0.821,
Mayuge,Eastern,Mayuge,Lake Victoria; Busoga Wetlands,1,1,0,Stable.,0.928,"Very Near (Adjacent, 0-2 km)",3.1,0.921,"Very Near (Adjacent, 0-2 km)",2.8,0.911,"Very Near (Adjacent, 0-2 km)",3.1,0.899,"Very Near (Adjacent, 0-2 km)",3.5,0.933,"Very Near (Adjacent, 0-2 km)",3.3,0.918,
Mbale,Eastern,Mbale,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.807,"Very Near (Adjacent, 0-2 km)",7.3,0.826,"Very Near (Adjacent, 0-2 km)",5.9,0.811,"Very Near (Adjacent, 0-2 km)",7.4,0.804,"Very Near (Adjacent, 0-2 km)",8.4,0.797,"Very Near (Adjacent, 0-2 km)",8.6,0.809,
Namayingo,Eastern,Namayingo,Lake Victoria,0,1,0,Stable.,0.19,Far (>25 km),30.5,0.175,Far (>25 km),32.2,0.192,Far (>25 km),30.0,0.176,Far (>25 km),30.3,0.188,Far (>25 km),30.7,0.184,
Namisindwa,Eastern,Namisindwa,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.809,"Very Near (Adjacent, 0-2 km)",7.7,0.807,"Very Near (Adjacent, 0-2 km)",6.5,0.829,"Very Near (Adjacent, 0-2 km)",7.4,0.829,"Very Near (Adjacent, 0-2 km)",6.6,0.825,"Very Near (Adjacent, 0-2 km)",7.5,0.82,
Namutumba,Eastern,Namutumba,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.798,"Very Near (Adjacent, 0-2 km)",7.2,0.811,"Very Near (Adjacent, 0-2 km)",7.7,0.81,"Very Near (Adjacent, 0-2 km)",7.9,0.807,"Very Near (Adjacent, 0-2 km)",8.4,0.814,"Very Near (Adjacent, 0-2 km)",7.3,0.808,
Ngora,Eastern,Ngora,Lake Kyoga fringes,0,1,0,Stable.,0.608,Near (2-10 km),15.7,0.606,Near (2-10 km),14.3,0.601,Near (2-10 km),15.3,0.586,Near (2-10 km),16.5,0.596,Near (2-10 km),16.4,0.599,
Pallisa,Eastern,Pallisa,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.812,"Very Near (Adjacent, 0-2 km)",8.2,0.826,"Very Near (Adjacent, 0-2 km)",6.4,0.825,"Very Near (Adjacent, 0-2 km)",5.5,0.8,"Very Near (Adjacent, 0-2 km)",7.8,0.809,"Very Near (Adjacent, 0-2 km)",7.0,0.814,
Serere,Eastern,Serere,Lake Kyoga; Lake Opeta,0,1,0,Stable.,0.192,Far (>25 km),30.6,0.188,Far (>25 km),31.4,0.197,Far (>25 km),29.6,0.196,Far (>25 km),31.1,0.172,Far (>25 km),30.5,0.189,
Sironko,Eastern,Sironko,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.804,"Very Near (Adjacent, 0-2 km)",6.5,0.819,"Very Near (Adjacent, 0-2 km)",8.1,0.816,"Very Near (Adjacent, 0-2 km)",6.5,0.803,"Very Near (Adjacent, 0-2 km)",8.6,0.819,"Very Near (Adjacent, 0-2 km)",6.2,0.812,
Soroti,Eastern,Soroti,Lake Kyoga; Lake Opeta,0,1,0,Stable.,0.2,Far (>25 km),30.2,0.203,Far (>25 km),30.3,0.173,Far (>25 km),30.7,0.164,Far (>25 km),32.5,0.176,Far (>25 km),31.9,0.183,
Tororo,Eastern,Tororo,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.83,"Very Near (Adjacent, 0-2 km)",6.2,0.817,"Very Near (Adjacent, 0-2 km)",7.5,0.822,"Very Near (Adjacent, 0-2 km)",6.4,0.805,"Very Near (Adjacent, 0-2 km)",6.9,0.798,"Very Near (Adjacent, 0-2 km)",8.0,0.814,
Abim,Northern,Abim,"Minor wetlands; seasonal rivers (e.g., tributaries of White Nile)",1,0,1,Stable; minor drying in 2023 drought.,0.822,"Very Near (Adjacent, 0-2 km)",7.4,0.814,"Very Near (Adjacent, 0-2 km)",7.6,0.819,"Very Near (Adjacent, 0-2 km)",7.7,0.719,Near (2-10 km),11.1,0.821,"Very Near (Adjacent, 0-2 km)",6.1,0.799,
Adjumani,Northern,Adjumani,Nile River (Albert Nile section); Madi-Opei Wetlands,1,0,1,Stable; increased sedimentation from upstream erosion (2022-2024).,0.8,"Very Near (Adjacent, 0-2 km)",8.4,0.824,"Very Near (Adjacent, 0-2 km)",6.7,0.733,Near (2-10 km),9.4,0.726,Near (2-10 km),10.4,0.701,Near (2-10 km),10.5,0.757,
Agago,Northern,Agago,"Minor rivers (e.g., Pager River tributaries); seasonal wetlands",1,0,1,"Stable; slight wetland loss (~2%) in dry years (2021, 2023).",0.798,"Very Near (Adjacent, 0-2 km)",6.9,0.728,Near (2-10 km),10.3,0.799,"Very Near (Adjacent, 0-2 km)",7.6,0.736,Near (2-10 km),10.7,0.809,"Very Near (Adjacent, 0-2 km)",7.2,0.774,
Alebtong,Northern,Alebtong,Minor rivers; Lake Kwania fringes (wetlands),1,1,1,Stable; part of Kyoga system restoration (2020).,1.0,"Very Near (Adjacent, 0-2 km)",0.3,1.0,"Very Near (Adjacent, 0-2 km)",0.3,0.999,"Very Near (Adjacent, 0-2 km)",1.1,1.0,"Very Near (Adjacent, 0-2 km)",0.4,1.0,"Very Near (Adjacent, 0-2 km)",1.1,1.0,
Amolatar,Northern,Amolatar,Lake Kwania (part); seasonal rivers,0,1,1,Stable; water level fluctuations in 2023 (~5% drop).,0.257,Far (>25 km),29.3,0.282,Far (>25 km),27.3,0.252,Far (>25 km),28.5,0.167,Far (>25 km),32.8,0.256,Far (>25 km),28.8,0.243,
Amudat,Northern,Amudat,Minor seasonal rivers; small wetlands,1,0,1,"Stable; arid, minimal changes.",0.827,"Very Near (Adjacent, 0-2 km)",6.8,0.808,"Very Near (Adjacent, 0-2 km)",8.3,0.807,"Very Near (Adjacent, 0-2 km)",8.2,0.832,"Very Near (Adjacent, 0-2 km)",6.5,0.799,"Very Near (Adjacent, 0-2 km)",7.1,0.815,
Amuru,Northern,Amuru,Nile River (Albert Nile); Murchison Falls NP wetlands,1,0,1,Stable; tourism monitoring increased (2020-2024).,0.799,"Very Near (Adjacent, 0-2 km)",6.9,0.811,"Very Near (Adjacent, 0-2 km)",7.4,0.829,"Very Near (Adjacent, 0-2 km)",5.4,0.826,"Very Near (Adjacent, 0-2 km)",5.7,0.825,"Very Near (Adjacent, 0-2 km)",5.5,0.818,
Apac,Northern,Apac,Minor rivers; Lake Kwania fringes,0,1,1,Stable.,0.681,Near (2-10 km),13.1,0.702,Near (2-10 km),10.3,0.682,Near (2-10 km),13.1,0.674,Near (2-10 km),12.3,0.677,Near (2-10 km),11.8,0.683,
Arua,Northern,Arua,Nile River (Albert Nile); Ezo Wetlands,1,0,1,Stable; border monitoring with DRC (2022-2024).,0.816,"Very Near (Adjacent, 0-2 km)",6.1,0.803,"Very Near (Adjacent, 0-2 km)",8.6,0.827,"Very Near (Adjacent, 0-2 km)",6.8,0.802,"Very Near (Adjacent, 0-2 km)",6.6,0.822,"Very Near (Adjacent, 0-2 km)",7.0,0.814,
Dokolo,Northern,Dokolo,Lake Kwania; seasonal rivers,0,1,1,Stable; water hyacinth management (2021-2023).,0.247,Far (>25 km),29.7,0.162,Far (>25 km),31.3,0.172,Far (>25 km),32.5,0.161,Far (>25 km),31.9,0.249,Far (>25 km),28.5,0.198,
Gulu,Northern,Gulu,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.833,"Very Near (Adjacent, 0-2 km)",7.4,0.811,"Very Near (Adjacent, 0-2 km)",8.0,0.836,"Very Near (Adjacent, 0-2 km)",5.8,0.831,"Very Near (Adjacent, 0-2 km)",5.9,0.835,"Very Near (Adjacent, 0-2 km)",7.2,0.829,
Kaabong,Northern,Kaabong,Minor seasonal rivers; small wetlands,1,0,1,Stable; arid conditions.,0.836,"Very Near (Adjacent, 0-2 km)",6.0,0.824,"Very Near (Adjacent, 0-2 km)",7.2,0.82,"Very Near (Adjacent, 0-2 km)",5.8,0.823,"Very Near (Adjacent, 0-2 km)",7.5,0.822,"Very Near (Adjacent, 0-2 km)",7.7,0.825,
Karenga,Northern,Kaabong,Minor seasonal rivers; small wetlands,1,0,1,Stable; arid conditions.,0.835,"Very Near (Adjacent, 0-2 km)",6.6,0.811,"Very Near (Adjacent, 0-2 km)",7.2,0.804,"Very Near (Adjacent, 0-2 km)",6.8,0.836,"Very Near (Adjacent, 0-2 km)",6.1,0.815,"Very Near (Adjacent, 0-2 km)",8.0,0.82,Proxy from Kaabong (nearest/parent district; no direct record for Karenga)
Kitgum,Northern,Kitgum,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.829,"Very Near (Adjacent, 0-2 km)",5.4,0.813,"Very Near (Adjacent, 0-2 km)",7.2,0.806,"Very Near (Adjacent, 0-2 km)",8.0,0.821,"Very Near (Adjacent, 0-2 km)",7.6,0.802,"Very Near (Adjacent, 0-2 km)",6.8,0.814,
Koboko,Northern,Koboko,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.809,"Very Near (Adjacent, 0-2 km)",7.3,0.807,"Very Near (Adjacent, 0-2 km)",7.4,0.811,"Very Near (Adjacent, 0-2 km)",6.1,0.83,"Very Near (Adjacent, 0-2 km)",6.6,0.833,"Very Near (Adjacent, 0-2 km)",6.4,0.818,
Kole,Northern,Kole,Minor rivers; Lake Kwania fringes,0,1,1,Stable.,0.701,Near (2-10 km),11.6,0.686,Near (2-10 km),13.0,0.681,Near (2-10 km),13.3,0.69,Near (2-10 km),12.9,0.67,Near (2-10 km),12.6,0.686,
