District,Region,Reference_Station,Station_Historical_Mean_mm_2012_2018,Rainfall_2020_mm,Rainfall_2021_mm,Rainfall_2022_mm,Rainfall_2023_mm,Rainfall_2024_mm,Avg_2020_2024_mm
Kumi,Eastern,Soroti,1305.9,1053.7,1260.6,1222.4,1391.8,1446.4,1275.0
Kween,Eastern,Buginyanya,2170.3,2289.6,2488.5,2418.5,2350.7,1801.5,2269.8
Luuka,Eastern,Jinja,1251.1,1422.1,1280.0,1212.4,1439.4,1134.1,1297.6
Manafwa,Eastern,Buginyanya,2170.3,2709.0,2166.6,2311.9,2610.9,2299.6,2419.6
Mayuge,Eastern,Jinja,1251.1,1366.8,1197.3,1223.0,1271.7,1344.1,1280.6
Mbale,Eastern,Buginyanya,2170.3,2127.2,1944.6,2016.9,2301.4,2237.3,2125.5
Namayingo,Eastern,Tororo,1496.5,1297.5,1884.3,1827.8,1721.8,1130.6,1572.4
Namisindwa,Eastern,Buginyanya,2170.3,2318.1,2571.1,2399.3,2236.5,2301.8,2365.4
Namutumba,Eastern,Jinja,1251.1,1283.0,1296.0,1193.8,1368.9,1480.5,1324.4
Ngora,Eastern,Soroti,1305.9,1130.2,1287.4,1326.5,1254.3,1144.0,1228.5
Pallisa,Eastern,Tororo,1496.5,1810.4,1401.5,1232.5,1696.3,1736.1,1575.4
Serere,Eastern,Soroti,1305.9,1526.0,1254.2,1326.3,994.2,1086.4,1237.4
Sironko,Eastern,Buginyanya,2170.3,2274.1,2055.8,2104.5,2242.3,2273.6,2190.1
Soroti,Eastern,Soroti,1305.9,1372.0,1281.2,1413.8,1351.0,1199.7,1323.5
Tororo,Eastern,Tororo,1496.5,1456.3,1463.7,1511.9,1501.8,1528.5,1492.4
Abim,Northern,Kotido,800.7,680.5,797.3,896.3,874.1,809.0,811.4
Adjumani,Northern,Wadelai,1096.0,996.8,825.8,1008.8,949.9,1136.7,983.6
Agago,Northern,Kitgum,1316.5,717.9,901.9,1482.8,1299.4,1040.3,1088.5
Alebtong,Northern,Lira,1525.3,1555.8,1600.2,1574.4,1734.2,1689.7,1630.9
Amolatar,Northern,Lira,1525.3,1601.4,1765.8,1735.0,1731.0,1457.4,1658.1
Amudat,Northern,Kotido,800.7,862.7,795.1,897.0,889.2,915.1,871.8
Amuru,Northern,Gulu,1533.3,1953.1,1891.2,1621.9,1579.7,1991.1,1807.4
Apac,Northern,Lira,1525.3,1621.7,1685.7,1582.3,1394.4,1503.7,1557.6
Arua,Northern,Arua,1465.2,1645.1,1639.6,1529.7,1609.3,1592.5,1603.2
Dokolo,Northern,Lira,1525.3,1542.4,1499.8,1605.1,1417.0,1406.2,1494.1
Gulu,Northern,Gulu,1533.3,1284.5,1372.1,1135.1,1277.7,1540.6,1322.0
Kaabong,Northern,Kotido,800.7,815.1,784.4,664.8,921.1,890.3,815.1
Karenga,Northern,Kotido,800.7,757.2,768.4,622.2,809.9,889.9,769.5
Kitgum,Northern,Kitgum,1316.5,1166.4,1388.4,994.0,843.4,940.8,1066.6
Koboko,Northern,Arua,1465.2,1232.0,1388.1,1473.8,1558.5,1597.8,1450.0
Kole,Northern,Lira,1525.3,1748.3,1433.8,1428.0,1354.3,1326.3,1458.1
Kotido,Northern,Kotido,800.7,798.4,845.0,670.4,641.4,742.8,739.6
Kwania,Northern,Lira,1525.3,1475.5,1499.7,1418.2,1578.4,1589.7,1512.3
Lamwo,Northern,Kitgum,1316.5,1177.5,1233.5,750.4,924.8,1186.8,1054.6
Lira,Northern,Lira,1525.3,1478.5,1528.0,1348.2,1431.0,1451.7,1447.5
Madi-Okollo,Northern,Arua,1465.2,1576.8,1499.1,1355.9,1406.4,1435.3,1454.7
Maracha,Northern,Arua,1465.2,1546.2,1390.7,1246.3,1335.5,1314.4,1366.6
Moroto,Northern,Kotido,800.7,751.9,738.5,788.6,844.6,778.1,780.3
Moyo,Northern,Wadelai,1096.0,1163.9,1256.6,1167.3,1259.6,858.2,1141.1
Nabilatuk,Northern,Kotido,800.7,797.6,855.0,1034.4,912.1,957.3,911.3
Nakapiripirit,Northern,Kotido,800.7,914.1,887.2,816.6,853.1,720.0,838.2
Napak,Northern,Kotido,800.7,747.8,805.1,997.1,848.9,819.4,843.7
Nebbi,Northern,Wadelai,1096.0,1153.2,1015.7,1100.0,1169.7,1210.0,1129.7
Nwoya,Northern,Gulu,1533.3,1782.4,1904.1,1666.2,1625.5,1492.7,1694.2
Obongi,Northern,Wadelai,1096.0,1074.1,1172.0,1063.0,998.3,1151.0,1091.7
Omoro,Northern,Gulu,1533.3,1616.4,1447.1,1641.2,1562.7,1596.4,1572.8
Otuke,Northern,Lira,1525.3,1745.1,1535.1,1823.8,1630.2,1663.6,1679.6
Oyam,Northern,Lira,1525.3,1488.3,1286.2,1672.5,1753.3,1448.1,1529.7
Pader,Northern,Kitgum,1316.5,885.7,1397.8,1254.3,1282.8,1243.0,1212.7
Pakwach,Northern,Wadelai,1096.0,955.2,1049.7,901.2,1018.9,1107.4,1006.5
Terego,Northern,Arua,1465.2,1457.1,1333.7,1441.9,1388.1,1661.1,1456.4
Yumbe,Northern,Arua,1465.2,1489.6,1406.7,1344.7,1289.6,1353.5,1376.8
Zombo,Northern,Wadelai,1096.0,1173.7,1193.8,1390.9,1111.7,1103.1,1194.6
Buhweju,Western,Mbarara,934.5,821.2,823.1,918.9,950.3,996.2,901.9
Buliisa,Western,Masindi,1396.2,1431.0,1415.0,1499.8,1194.2,1214.1,1350.8
Bundibugyo,Western,Kasese,904.2,794.7,755.2,918.5,840.3,949.1,851.6
Bunyangabu,Western,Kyembogo,1337.4,1454.7,1480.3,1366.4,1065.1,1236.1,1320.5
Bushenyi,Western,Mbarara,934.5,885.0,903.5,1026.8,845.9,991.6,930.6
Hoima,Western,Masindi,1396.2,1414.0,1420.8,1385.9,1586.4,1502.6,1461.9
Ibanda,Western,Mbarara,934.5,885.7,915.2,926.4,687.1,1046.3,892.1
Isingiro,Western,Mbarara,934.5,739.9,968.9,928.5,994.1,1005.8,927.4
Kabale,Western,Kabale,1073.6,969.2,1238.9,1053.7,928.3,838.9,1005.8
Kabarole,Western,Kyembogo,1337.4,1313.2,1668.2,1539.2,1457.2,1827.1,1561.0
Kagadi,Western,Kibanda,802.6,698.2,829.7,878.1,707.0,628.4,748.3
Kakumiro,Western,Kibanda,802.6,845.5,660.4,728.5,711.4,826.1,754.4
Kamwenge,Western,Kyembogo,1337.4,1311.4,1257.4,1520.6,1680.3,1383.8,1430.7
Kanungu,Western,Kabale,1073.6,1013.9,1062.4,1171.1,1312.4,1105.4,1133.0
Kasese,Western,Kasese,904.2,922.0,751.7,852.5,814.5,912.1,850.6
Kazo,Western,Mbarara,934.5,604.2,824.2,931.8,858.0,1030.1,849.7
Kibaale,Western,Kibanda,802.6,717.5,830.3,623.7,658.5,749.7,715.9
Kikuube,Western,Masindi,1396.2,1415.6,1441.8,1329.6,1410.8,1610.7,1441.7
Kiruhura,Western,Mbarara,934.5,1225.0,947.5,941.4,960.8,1084.8,1031.9
Kiryandongo,Western,Kibanda,802.6,494.3,767.6,886.1,906.9,1155.6,842.1
Kisoro,Western,Kabale,1073.6,1118.3,1214.9,1172.9,1333.3,997.0,1167.3
Kitagwenda,Western,Kyembogo,1337.4,618.8,1248.7,1231.7,1485.6,1821.0,1281.2
Kyegegwa,Western,Kyembogo,1337.4,1285.9,1219.2,1128.1,1137.8,1395.7,1233.3
Kyenjojo,Western,Kyembogo,1337.4,1353.4,1308.3,1510.5,1497.0,1364.8,1406.8
Masindi,Western,Masindi,1396.2,1408.3,1255.3,1530.0,1501.6,1312.6,1401.6
Mbarara,Western,Mbarara,934.5,1037.5,755.2,1093.4,1036.0,1092.8,1003.0
Mitooma,Western,Mbarara,934.5,924.1,717.7,992.4,958.9,903.6,899.3
Ntoroko,Western,Kasese,904.2,926.3,983.5,892.6,896.3,674.8,874.7
Ntungamo,Western,Mbarara,934.5,1005.8,1143.5,957.5,925.9,1149.5,1036.4
Rubanda,Western,Kabale,1073.6,1156.4,1329.5,1168.5,1272.7,1047.2,1194.9
Rubirizi,Western,Mbarara,934.5,934.5,950.3,1095.6,1320.0,977.8,1055.6
Rukiga,Western,Kabale,1073.6,1111.8,944.3,1095.5,1158.6,1065.8,1075.2
Rukungiri,Western,Kabale,1073.6,890.9,1112.4,878.3,911.0,941.5,946.8
Rwampara,Western,Mbarara,934.5,1032.1,979.9,895.7,995.8,1173.7,1015.4
Sheema,Western,Mbarara,934.5,985.2,1122.9,1037.3,793.7,1228.1,1033.4
Arua City,Northern,Arua,1465.2,1300.1,1401.9,1502.4,1615.7,1613.1,1486.6
Entebbe City,Central,Entebbe,1505.9,1341.5,1463.0,1637.9,1397.1,1321.6,1432.2
Fort Portal City,Western,Kyembogo,1337.4,947.2,1148.6,1183.8,1374.0,1209.5,1172.6
Gulu City,Northern,Gulu,1533.3,1410.2,1481.7,1402.2,1489.5,1645.6,1485.8
Hoima City,Western,Masindi,1396.2,1666.5,1392.2,1341.9,1064.6,1519.2,1396.9
Jinja City,Eastern,Jinja,1251.1,1219.4,1294.3,1124.9,1255.2,1249.7,1228.7
Lira City,Northern,Lira,1525.3,1474.9,1662.0,1331.8,1561.9,1565.2,1519.2
Masaka City,Central,Mbarara,934.5,1019.7,1143.9,977.0,1069.7,925.4,1027.1
Mbale City,Eastern,Buginyanya,2170.3,2058.0,2108.5,2507.5,2380.7,2211.2,2253.2
Mbarara City,Western,Mbarara,934.5,766.8,902.5,1052.7,1034.5,1041.7,959.6
