District,Region,Reference_Station,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,Avg_NDVI_2020_2024
Sironko,Eastern,Buginyanya,0.81,0.847,0.878,0.832,0.782,0.83
Soroti,Eastern,Soroti,0.61,0.591,0.634,0.674,0.64,0.63
Tororo,Eastern,Tororo,0.739,0.708,0.662,0.672,0.668,0.69
Abim,Northern,Kotido,0.457,0.456,0.448,0.441,0.446,0.45
Adjumani,Northern,Wadelai,0.566,0.605,0.615,0.612,0.527,0.585
Agago,Northern,Kitgum,0.529,0.544,0.566,0.606,0.601,0.569
Alebtong,Northern,Lira,0.66,0.662,0.654,0.711,0.707,0.679
Amolatar,Northern,Lira,0.699,0.658,0.628,0.659,0.643,0.657
Amudat,Northern,Kotido,0.441,0.472,0.472,0.432,0.454,0.454
Amuru,Northern,Gulu,0.62,0.694,0.7,0.651,0.662,0.665
Apac,Northern,Lira,0.697,0.695,0.667,0.662,0.688,0.682
Arua,Northern,Arua,0.715,0.649,0.675,0.656,0.634,0.666
Dokolo,Northern,Lira,0.694,0.697,0.688,0.688,0.706,0.695
Gulu,Northern,Gulu,0.708,0.711,0.738,0.74,0.715,0.722
Kaabong,Northern,Kotido,0.497,0.42,0.423,0.45,0.455,0.449
Karenga,Northern,Kotido,0.498,0.496,0.479,0.471,0.437,0.476
Kitgum,Northern,Kitgum,0.607,0.667,0.668,0.674,0.68,0.659
Koboko,Northern,Arua,0.742,0.727,0.743,0.749,0.751,0.742
Kole,Northern,Lira,0.706,0.726,0.702,0.703,0.697,0.707
Kotido,Northern,Kotido,0.455,0.431,0.431,0.45,0.465,0.446
Kwania,Northern,Lira,0.696,0.674,0.689,0.682,0.697,0.688
Lamwo,Northern,Kitgum,0.665,0.664,0.656,0.675,0.668,0.666
Lira,Northern,Lira,0.656,0.683,0.709,0.765,0.735,0.71
Madi-Okollo,Northern,Arua,0.675,0.664,0.669,0.65,0.684,0.668
Maracha,Northern,Arua,0.697,0.669,0.653,0.63,0.65,0.66
Moroto,Northern,Kotido,0.453,0.426,0.422,0.397,0.355,0.411
Moyo,Northern,Wadelai,0.606,0.617,0.565,0.557,0.51,0.571
Nabilatuk,Northern,Kotido,0.451,0.456,0.431,0.426,0.423,0.437
Nakapiripirit,Northern,Kotido,0.429,0.437,0.417,0.434,0.44,0.431
Napak,Northern,Kotido,0.472,0.518,0.462,0.495,0.491,0.488
Nebbi,Northern,Wadelai,0.579,0.553,0.53,0.563,0.608,0.567
Nwoya,Northern,Gulu,0.74,0.676,0.694,0.704,0.71,0.705
Obongi,Northern,Wadelai,0.506,0.486,0.558,0.629,0.615,0.559
Omoro,Northern,Gulu,0.698,0.713,0.684,0.698,0.709,0.7
Otuke,Northern,Lira,0.748,0.712,0.701,0.646,0.638,0.689
Oyam,Northern,Lira,0.676,0.646,0.657,0.72,0.716,0.683
Pader,Northern,Kitgum,0.618,0.651,0.625,0.588,0.621,0.621
Pakwach,Northern,Wadelai,0.578,0.62,0.591,0.586,0.56,0.587
Terego,Northern,Arua,0.591,0.593,0.613,0.624,0.641,0.612
Yumbe,Northern,Arua,0.591,0.649,0.671,0.664,0.609,0.637
Zombo,Northern,Wadelai,0.586,0.631,0.587,0.606,0.604,0.603
Buhweju,Western,Mbarara,0.488,0.482,0.495,0.544,0.548,0.511
Buliisa,Western,Masindi,0.79,0.763,0.786,0.792,0.771,0.78
Bundibugyo,Western,Kasese,0.588,0.597,0.612,0.623,0.621,0.608
Bunyangabu,Western,Kyembogo,0.794,0.784,0.746,0.79,0.747,0.772
Bushenyi,Western,Mbarara,0.521,0.561,0.531,0.581,0.534,0.546
Hoima,Western,Masindi,0.691,0.657,0.637,0.655,0.732,0.674
Ibanda,Western,Mbarara,0.55,0.571,0.577,0.575,0.588,0.572
Isingiro,Western,Mbarara,0.507,0.524,0.557,0.521,0.498,0.521
Kabale,Western,Kabale,0.67,0.669,0.663,0.607,0.626,0.647
Kabarole,Western,Kyembogo,0.741,0.771,0.782,0.754,0.722,0.754
Kagadi,Western,Kibanda,0.507,0.515,0.524,0.471,0.499,0.503
Kakumiro,Western,Kibanda,0.508,0.498,0.568,0.53,0.553,0.531
Kamwenge,Western,Kyembogo,0.739,0.658,0.668,0.653,0.623,0.668
Kanungu,Western,Kabale,0.714,0.689,0.705,0.676,0.716,0.7
Kasese,Western,Kasese,0.634,0.599,0.575,0.577,0.563,0.59
Kazo,Western,Mbarara,0.508,0.507,0.497,0.52,0.466,0.5
Kibaale,Western,Kibanda,0.502,0.492,0.517,0.511,0.521,0.509
Kikuube,Western,Masindi,0.645,0.655,0.705,0.624,0.609,0.648
Kiruhura,Western,Mbarara,0.541,0.54,0.539,0.558,0.522,0.54
Kiryandongo,Western,Kibanda,0.558,0.603,0.544,0.54,0.527,0.554
Kisoro,Western,Kabale,0.659,0.652,0.668,0.689,0.74,0.682
Kitagwenda,Western,Kyembogo,0.721,0.673,0.659,0.668,0.672,0.679
Kyegegwa,Western,Kyembogo,0.741,0.687,0.65,0.613,0.629,0.664
Kyenjojo,Western,Kyembogo,0.644,0.601,0.536,0.495,0.529,0.561
Masindi,Western,Masindi,0.773,0.759,0.767,0.739,0.696,0.747
Mbarara,Western,Mbarara,0.613,0.606,0.601,0.556,0.546,0.584
Mitooma,Western,Mbarara,0.527,0.516,0.52,0.553,0.52,0.527
Ntoroko,Western,Kasese,0.56,0.529,0.561,0.623,0.648,0.584
Ntungamo,Western,Mbarara,0.532,0.554,0.55,0.606,0.581,0.565
Rubanda,Western,Kabale,0.644,0.683,0.688,0.675,0.635,0.665
Rubirizi,Western,Mbarara,0.495,0.487,0.507,0.531,0.566,0.517
Rukiga,Western,Kabale,0.659,0.659,0.634,0.609,0.594,0.631
Rukungiri,Western,Kabale,0.676,0.658,0.683,0.665,0.665,0.669
Rwampara,Western,Mbarara,0.552,0.517,0.541,0.509,0.555,0.535
Sheema,Western,Mbarara,0.591,0.565,0.522,0.522,0.514,0.543
Arua City,Northern,Arua,0.522,0.484,0.48,0.509,0.487,0.496
Entebbe City,Central,Entebbe,0.405,0.403,0.433,0.459,0.503,0.441
Fort Portal City,Western,Kyembogo,0.467,0.443,0.436,0.383,0.439,0.434
Gulu City,Northern,Gulu,0.53,0.52,0.488,0.505,0.485,0.506
Hoima City,Western,Masindi,0.473,0.445,0.471,0.443,0.461,0.459
Jinja City,Eastern,Jinja,0.415,0.407,0.379,0.415,0.416,0.406
Lira City,Northern,Lira,0.496,0.443,0.47,0.499,0.52,0.486
Masaka City,Central,Mbarara,0.365,0.323,0.303,0.292,0.333,0.323
Mbale City,Eastern,Buginyanya,0.466,0.478,0.475,0.499,0.529,0.489
Mbarara City,Western,Mbarara,0.35,0.312,0.298,0.318,0.276,0.311
