District,Region,UDHS_Subregion,Year,ITN_Net_Usage_pct,Poor_Housing_pct,Lack_Maternal_Education_pct
Lwengo,Central,South Central,2021,59.1,15.9,1.7
Lwengo,Central,South Central,2022,56.2,17.0,2.1
Lwengo,Central,South Central,2023,51.7,14.6,1.9
Lwengo,Central,South Central,2024,47.5,14.2,1.7
Lyantonde,Central,South Central,2020,51.8,20.0,7.0
Lyantonde,Central,South Central,2021,60.2,18.7,7.5
Lyantonde,Central,South Central,2022,55.0,19.1,4.8
Lyantonde,Central,South Central,2023,47.0,18.0,6.0
Lyantonde,Central,South Central,2024,43.9,15.5,6.5
Masaka,Central,South Central,2020,51.3,18.4,2.7
Masaka,Central,South Central,2021,55.6,16.5,3.6
Masaka,Central,South Central,2022,56.4,15.3,0.9
Masaka,Central,South Central,2023,48.4,15.1,1.4
Masaka,Central,South Central,2024,48.1,12.5,0.5
Mityana,Central,North Central,2020,53.5,19.8,5.6
Mityana,Central,North Central,2021,57.1,17.6,3.3
Mityana,Central,North Central,2022,53.0,18.3,5.5
Mityana,Central,North Central,2023,53.0,17.1,3.7
Mityana,Central,North Central,2024,47.9,15.8,3.5
Mpigi,Central,South Central,2020,54.2,16.8,5.8
Mpigi,Central,South Central,2021,59.8,16.8,7.2
Mpigi,Central,South Central,2022,52.6,14.7,6.5
Mpigi,Central,South Central,2023,52.6,13.7,6.4
Mpigi,Central,South Central,2024,43.7,12.9,4.2
Mubende,Central,North Central,2020,53.2,21.0,5.6
Mubende,Central,North Central,2021,57.7,20.3,4.8
Mubende,Central,North Central,2022,55.8,20.7,4.1
Mubende,Central,North Central,2023,50.3,19.9,3.7
Mubende,Central,North Central,2024,49.8,18.2,3.4
Mukono,Central,North Central,2020,56.1,25.5,7.4
Mukono,Central,North Central,2021,59.5,23.2,9.7
Mukono,Central,North Central,2022,53.3,22.7,8.0
Mukono,Central,North Central,2023,49.8,22.4,8.1
Mukono,Central,North Central,2024,49.5,19.9,7.1
Nakaseke,Central,North Central,2020,53.9,24.1,7.4
Nakaseke,Central,North Central,2021,59.5,23.9,7.6
Nakaseke,Central,North Central,2022,53.9,23.7,7.9
Nakaseke,Central,North Central,2023,53.5,21.3,7.1
Nakaseke,Central,North Central,2024,45.3,20.1,7.9
Nakasongola,Central,North Central,2020,51.8,18.7,7.0
Nakasongola,Central,North Central,2021,59.2,19.0,6.3
Nakasongola,Central,North Central,2022,58.6,16.4,3.5
Nakasongola,Central,North Central,2023,49.7,16.0,5.5
Nakasongola,Central,North Central,2024,49.6,13.9,3.6
Rakai,Central,South Central,2020,53.5,21.9,7.8
Rakai,Central,South Central,2021,56.0,20.4,5.8
Rakai,Central,South Central,2022,51.0,19.9,6.1
Rakai,Central,South Central,2023,50.8,16.5,6.1
Rakai,Central,South Central,2024,49.3,17.2,5.5
Sembabule,Central,South Central,2020,54.1,18.4,6.0
Sembabule,Central,South Central,2021,60.0,17.5,5.4
Sembabule,Central,South Central,2022,56.5,16.4,6.1
Sembabule,Central,South Central,2023,48.2,15.8,3.6
Sembabule,Central,South Central,2024,47.0,12.5,5.5
Wakiso,Central,South Central,2020,53.3,20.6,3.7
Wakiso,Central,South Central,2021,58.2,20.0,4.0
Wakiso,Central,South Central,2022,55.6,17.2,2.9
Wakiso,Central,South Central,2023,51.7,17.9,2.9
Wakiso,Central,South Central,2024,47.7,15.0,2.0
Amuria,Eastern,Teso,2020,66.3,48.7,16.3
Amuria,Eastern,Teso,2021,78.2,48.4,17.0
Amuria,Eastern,Teso,2022,72.5,46.4,15.8
Amuria,Eastern,Teso,2023,64.5,45.3,15.4
Amuria,Eastern,Teso,2024,63.3,44.3,13.9
Budaka,Eastern,Bukedi,2020,65.4,46.2,14.1
Budaka,Eastern,Bukedi,2021,76.5,43.4,13.4
Budaka,Eastern,Bukedi,2022,67.2,44.8,15.2
Budaka,Eastern,Bukedi,2023,66.0,42.3,14.8
Budaka,Eastern,Bukedi,2024,61.1,40.3,12.7
Bududa,Eastern,Bugisu,2020,61.3,39.3,15.8
Bududa,Eastern,Bugisu,2021,63.6,38.2,15.9
Bududa,Eastern,Bugisu,2022,63.0,37.0,16.0
Bududa,Eastern,Bugisu,2023,55.1,37.1,16.3
Bududa,Eastern,Bugisu,2024,52.4,36.0,16.4
Bugiri,Eastern,Busoga,2020,61.2,38.0,16.5
Bugiri,Eastern,Busoga,2021,67.9,38.2,15.4
Bugiri,Eastern,Busoga,2022,64.4,38.6,15.3
Bugiri,Eastern,Busoga,2023,57.5,35.8,16.8
Bugiri,Eastern,Busoga,2024,53.7,34.0,16.3
Bugweri,Eastern,Busoga,2020,63.9,44.2,14.8
Bugweri,Eastern,Busoga,2021,65.2,43.8,14.1
Bugweri,Eastern,Busoga,2022,66.0,41.9,12.4
Bugweri,Eastern,Busoga,2023,61.2,41.7,12.1
Bugweri,Eastern,Busoga,2024,53.8,40.7,12.1
Bukedea,Eastern,Teso,2020,68.5,48.2,19.4
Bukedea,Eastern,Teso,2021,78.8,46.4,18.1
Bukedea,Eastern,Teso,2022,70.1,45.3,18.7
Bukedea,Eastern,Teso,2023,67.4,46.4,18.4
Bukedea,Eastern,Teso,2024,60.9,43.9,19.4
Bukwo,Eastern,Bugisu,2020,58.0,38.4,14.9
Bukwo,Eastern,Bugisu,2021,65.8,36.7,14.6
Bukwo,Eastern,Bugisu,2022,63.1,35.4,16.1
Bukwo,Eastern,Bugisu,2023,55.8,33.9,14.1
Bukwo,Eastern,Bugisu,2024,50.6,31.7,13.8
Bulambuli,Eastern,Bugisu,2020,59.4,39.9,14.9
Bulambuli,Eastern,Bugisu,2021,67.3,40.5,16.2
Bulambuli,Eastern,Bugisu,2022,59.2,37.0,15.0
Bulambuli,Eastern,Bugisu,2023,58.3,37.1,15.3
Bulambuli,Eastern,Bugisu,2024,51.1,36.1,14.8
Busia,Eastern,Bukedi,2020,67.5,44.4,18.2
Busia,Eastern,Bukedi,2021,75.5,45.7,19.5
Busia,Eastern,Bukedi,2022,68.8,43.1,17.8
Busia,Eastern,Bukedi,2023,63.5,42.8,18.1
Busia,Eastern,Bukedi,2024,61.7,41.4,18.4
Butaleja,Eastern,Bukedi,2020,65.9,43.4,17.4
Butaleja,Eastern,Bukedi,2021,71.1,43.3,19.2
Butaleja,Eastern,Bukedi,2022,69.5,42.8,16.3
Butaleja,Eastern,Bukedi,2023,61.5,40.4,16.3
Butaleja,Eastern,Bukedi,2024,56.9,39.6,15.2
Butebo,Eastern,Bukedi,2020,63.9,43.0,19.5
Butebo,Eastern,Bukedi,2021,71.6,42.4,18.3
Butebo,Eastern,Bukedi,2022,66.0,43.4,17.8
Butebo,Eastern,Bukedi,2023,63.4,40.6,17.9
Butebo,Eastern,Bukedi,2024,56.7,40.7,15.9
Buyende,Eastern,Busoga,2020,61.4,41.9,14.8
Buyende,Eastern,Busoga,2021,66.3,39.9,15.8
Buyende,Eastern,Busoga,2022,60.7,40.2,14.2
Buyende,Eastern,Busoga,2023,56.4,38.7,16.0
Buyende,Eastern,Busoga,2024,53.5,37.2,14.3
Iganga,Eastern,Busoga,2020,58.4,41.2,14.6
Iganga,Eastern,Busoga,2021,69.1,38.4,14.6
Iganga,Eastern,Busoga,2022,62.9,37.8,13.3
Iganga,Eastern,Busoga,2023,56.6,36.7,11.8
Iganga,Eastern,Busoga,2024,57.3,35.7,12.9
Jinja,Eastern,Busoga,2020,60.0,38.9,15.2
Jinja,Eastern,Busoga,2021,68.9,38.9,12.2
Jinja,Eastern,Busoga,2022,64.0,36.1,14.2
Jinja,Eastern,Busoga,2023,56.5,37.2,11.5
Jinja,Eastern,Busoga,2024,53.0,33.9,11.7
Kaberamaido,Eastern,Teso,2020,70.5,49.2,21.7
Kaberamaido,Eastern,Teso,2021,74.0,46.9,22.3
Kaberamaido,Eastern,Teso,2022,70.5,46.4,19.9
Kaberamaido,Eastern,Teso,2023,64.3,45.9,19.7
Kaberamaido,Eastern,Teso,2024,59.5,44.5,18.8
Kalaki,Eastern,Teso,2020,66.2,45.6,20.4
Kalaki,Eastern,Teso,2021,75.8,44.8,18.7
Kalaki,Eastern,Teso,2022,69.1,43.9,18.8
Kalaki,Eastern,Teso,2023,67.7,43.3,18.1
Kalaki,Eastern,Teso,2024,58.8,42.9,18.8
Kaliro,Eastern,Busoga,2020,59.2,41.9,15.7
Kaliro,Eastern,Busoga,2021,66.1,41.7,16.2
Kaliro,Eastern,Busoga,2022,65.4,39.0,14.6
Kaliro,Eastern,Busoga,2023,55.6,40.3,14.0
Kaliro,Eastern,Busoga,2024,56.3,37.8,12.1
Kamuli,Eastern,Busoga,2020,64.1,41.8,15.5
Kamuli,Eastern,Busoga,2021,67.0,39.9,13.6
Kamuli,Eastern,Busoga,2022,63.7,40.2,14.6
Kamuli,Eastern,Busoga,2023,61.0,37.7,14.7
Kamuli,Eastern,Busoga,2024,55.2,36.0,11.7
Kapchorwa,Eastern,Bugisu,2020,57.0,43.4,15.8
Kapchorwa,Eastern,Bugisu,2021,67.5,42.8,13.0
Kapchorwa,Eastern,Bugisu,2022,60.9,41.5,14.7
Kapchorwa,Eastern,Bugisu,2023,54.0,39.7,13.1
Kapchorwa,Eastern,Bugisu,2024,51.2,37.9,11.9
Kapelebyong,Eastern,Teso,2020,71.1,44.6,22.4
Kapelebyong,Eastern,Teso,2021,75.3,43.3,21.2
Kapelebyong,Eastern,Teso,2022,70.8,43.0,18.9
Kapelebyong,Eastern,Teso,2023,66.0,41.0,20.9
Kapelebyong,Eastern,Teso,2024,63.8,39.8,20.0
Katakwi,Eastern,Teso,2020,68.4,50.1,21.1
Katakwi,Eastern,Teso,2021,73.6,48.2,22.4
Katakwi,Eastern,Teso,2022,71.9,48.9,22.2
Katakwi,Eastern,Teso,2023,68.1,48.4,22.3
Katakwi,Eastern,Teso,2024,63.4,45.4,19.7
Kibuku,Eastern,Bukedi,2020,66.3,41.0,17.9
Kibuku,Eastern,Bukedi,2021,74.5,42.6,18.3
Kibuku,Eastern,Bukedi,2022,67.2,41.4,16.4
Kibuku,Eastern,Bukedi,2023,61.5,39.8,15.7
Kibuku,Eastern,Bukedi,2024,57.5,38.9,14.9
Kumi,Eastern,Teso,2020,67.3,44.7,20.1
Kumi,Eastern,Teso,2021,76.7,44.5,20.8
Kumi,Eastern,Teso,2022,73.6,44.5,17.9
Kumi,Eastern,Teso,2023,62.5,42.4,19.0
Kumi,Eastern,Teso,2024,59.6,42.3,17.4
Kween,Eastern,Bugisu,2020,57.8,41.5,16.7
Kween,Eastern,Bugisu,2021,66.6,41.3,16.4
Kween,Eastern,Bugisu,2022,59.5,39.7,14.6
Kween,Eastern,Bugisu,2023,58.7,38.4,15.8
Kween,Eastern,Bugisu,2024,52.2,39.1,13.8
Luuka,Eastern,Busoga,2020,62.5,44.7,14.6
Luuka,Eastern,Busoga,2021,66.2,44.6,13.2
Luuka,Eastern,Busoga,2022,61.7,41.2,14.0
Luuka,Eastern,Busoga,2023,61.0,40.5,13.8
Luuka,Eastern,Busoga,2024,55.3,40.6,13.7
Manafwa,Eastern,Bugisu,2020,62.1,38.2,14.2
Manafwa,Eastern,Bugisu,2021,65.6,36.1,13.6
Manafwa,Eastern,Bugisu,2022,62.4,36.4,11.1
Manafwa,Eastern,Bugisu,2023,59.3,33.4,12.2
Manafwa,Eastern,Bugisu,2024,50.1,34.7,10.5
Mayuge,Eastern,Busoga,2020,62.0,43.4,18.1
Mayuge,Eastern,Busoga,2021,65.3,42.4,16.3
Mayuge,Eastern,Busoga,2022,65.8,41.3,18.0
Mayuge,Eastern,Busoga,2023,58.4,39.4,17.7
Mayuge,Eastern,Busoga,2024,52.4,38.8,16.1
Mbale,Eastern,Bugisu,2020,59.4,38.1,11.8
Mbale,Eastern,Bugisu,2021,63.8,37.4,11.8
Mbale,Eastern,Bugisu,2022,62.3,36.6,10.1
Mbale,Eastern,Bugisu,2023,53.9,36.4,9.6
Mbale,Eastern,Bugisu,2024,55.5,35.8,8.3
Namayingo,Eastern,Busoga,2020,59.0,41.9,18.3
Namayingo,Eastern,Busoga,2021,69.6,42.0,18.1
Namayingo,Eastern,Busoga,2022,63.3,40.2,17.2
Namayingo,Eastern,Busoga,2023,60.6,39.7,15.1
Namayingo,Eastern,Busoga,2024,52.8,39.9,17.4
Namisindwa,Eastern,Bugisu,2020,56.4,42.7,13.6
Namisindwa,Eastern,Bugisu,2021,66.5,39.8,13.6
Namisindwa,Eastern,Bugisu,2022,61.0,38.8,10.9
Namisindwa,Eastern,Bugisu,2023,55.9,39.5,13.4
Namisindwa,Eastern,Bugisu,2024,53.2,37.4,11.3
Namutumba,Eastern,Busoga,2020,60.8,40.0,19.9
Namutumba,Eastern,Busoga,2021,69.9,38.0,18.8
Namutumba,Eastern,Busoga,2022,60.3,38.1,17.5
Namutumba,Eastern,Busoga,2023,59.0,35.9,16.4
Namutumba,Eastern,Busoga,2024,51.6,35.0,17.3
Ngora,Eastern,Teso,2020,66.1,47.7,19.3
Ngora,Eastern,Teso,2021,76.3,46.7,17.3
Ngora,Eastern,Teso,2022,68.4,44.7,18.6
Ngora,Eastern,Teso,2023,66.6,44.4,16.7
Ngora,Eastern,Teso,2024,58.8,42.9,18.0
Pallisa,Eastern,Bukedi,2020,67.4,45.4,17.8
Pallisa,Eastern,Bukedi,2021,74.8,42.5,18.2
Pallisa,Eastern,Bukedi,2022,66.6,41.9,17.6
Pallisa,Eastern,Bukedi,2023,60.6,40.1,17.9
Pallisa,Eastern,Bukedi,2024,57.1,40.9,17.6
Serere,Eastern,Teso,2020,68.1,49.3,18.6
Serere,Eastern,Teso,2021,73.8,47.9,17.6
Serere,Eastern,Teso,2022,73.5,45.9,15.2
Serere,Eastern,Teso,2023,65.1,44.7,16.7
Serere,Eastern,Teso,2024,62.4,45.6,15.6
Sironko,Eastern,Bugisu,2020,60.0,37.7,12.6
Sironko,Eastern,Bugisu,2021,64.9,35.3,14.5
Sironko,Eastern,Bugisu,2022,60.9,34.4,13.6
Sironko,Eastern,Bugisu,2023,54.7,35.2,11.0
Sironko,Eastern,Bugisu,2024,54.4,33.8,11.6
Soroti,Eastern,Teso,2020,69.7,47.9,20.7
Soroti,Eastern,Teso,2021,76.0,45.4,19.9
Soroti,Eastern,Teso,2022,70.7,46.0,20.2
Soroti,Eastern,Teso,2023,64.1,42.4,20.9
Soroti,Eastern,Teso,2024,60.3,41.8,20.2
Tororo,Eastern,Bukedi,2020,63.6,44.0,17.7
Tororo,Eastern,Bukedi,2021,76.4,43.9,18.8
Tororo,Eastern,Bukedi,2022,67.7,42.2,16.4
Tororo,Eastern,Bukedi,2023,62.3,41.9,16.7
Tororo,Eastern,Bukedi,2024,61.5,38.9,15.1
Abim,Northern,Karamoja,2020,80.7,81.7,59.0
Abim,Northern,Karamoja,2021,87.5,80.3,57.3
Abim,Northern,Karamoja,2022,82.9,81.0,57.4
Abim,Northern,Karamoja,2023,74.6,78.9,55.5
Abim,Northern,Karamoja,2024,67.9,77.7,56.6
Adjumani,Northern,West Nile,2020,71.5,52.5,27.5
Adjumani,Northern,West Nile,2021,80.0,52.9,28.2
Adjumani,Northern,West Nile,2022,73.4,51.1,27.2
Adjumani,Northern,West Nile,2023,65.7,51.3,27.4
Adjumani,Northern,West Nile,2024,59.8,49.7,27.9
Agago,Northern,Acholi,2020,71.3,62.9,29.4
Agago,Northern,Acholi,2021,80.5,61.6,28.2
Agago,Northern,Acholi,2022,75.8,60.9,28.8
Agago,Northern,Acholi,2023,72.8,62.6,28.4
Agago,Northern,Acholi,2024,68.5,60.7,26.3
Alebtong,Northern,Lango,2020,70.4,48.3,24.1
Alebtong,Northern,Lango,2021,77.4,45.5,22.2
Alebtong,Northern,Lango,2022,74.1,45.4,21.6
Alebtong,Northern,Lango,2023,69.6,45.2,23.3
Alebtong,Northern,Lango,2024,66.0,43.1,21.9
Amolatar,Northern,Lango,2020,72.3,48.6,21.4
Amolatar,Northern,Lango,2021,78.7,45.7,19.3
Amolatar,Northern,Lango,2022,75.5,45.8,18.9
Amolatar,Northern,Lango,2023,66.2,46.0,20.4
Amolatar,Northern,Lango,2024,61.4,43.5,18.5
Amudat,Northern,Karamoja,2020,81.4,83.6,58.1
Amudat,Northern,Karamoja,2021,85.7,83.0,56.6
Amudat,Northern,Karamoja,2022,79.7,82.1,57.1
Amudat,Northern,Karamoja,2023,77.2,79.6,56.0
Amudat,Northern,Karamoja,2024,72.7,79.0,54.0
Amuru,Northern,Acholi,2020,71.5,65.8,27.1
Amuru,Northern,Acholi,2021,84.7,63.4,26.0
Amuru,Northern,Acholi,2022,73.8,62.7,26.2
Amuru,Northern,Acholi,2023,69.5,63.0,25.5
Amuru,Northern,Acholi,2024,68.0,60.7,25.3
Apac,Northern,Lango,2020,73.6,50.3,20.6
Apac,Northern,Lango,2021,77.6,50.0,21.1
Apac,Northern,Lango,2022,73.8,49.7,19.6
Apac,Northern,Lango,2023,67.5,46.7,20.3
Apac,Northern,Lango,2024,64.5,46.5,20.7
Arua,Northern,West Nile,2020,71.0,57.5,24.7
Arua,Northern,West Nile,2021,76.2,55.1,24.8
Arua,Northern,West Nile,2022,70.5,53.7,24.0
Arua,Northern,West Nile,2023,70.1,53.1,25.1
Arua,Northern,West Nile,2024,64.5,52.8,25.4
Dokolo,Northern,Lango,2020,73.9,50.5,20.9
Dokolo,Northern,Lango,2021,80.9,50.3,20.4
Dokolo,Northern,Lango,2022,74.7,48.6,20.5
Dokolo,Northern,Lango,2023,71.4,47.3,20.1
Dokolo,Northern,Lango,2024,63.8,46.1,17.7
Gulu,Northern,Acholi,2020,72.4,61.5,31.4
Gulu,Northern,Acholi,2021,81.9,60.8,31.2
Gulu,Northern,Acholi,2022,73.7,60.7,31.0
Gulu,Northern,Acholi,2023,71.6,59.5,28.3
Gulu,Northern,Acholi,2024,66.5,58.0,29.6
Kaabong,Northern,Karamoja,2020,77.3,87.5,53.1
Kaabong,Northern,Karamoja,2021,85.3,84.3,52.7
Kaabong,Northern,Karamoja,2022,82.4,83.1,53.2
Kaabong,Northern,Karamoja,2023,74.1,83.6,52.0
Kaabong,Northern,Karamoja,2024,69.9,82.5,51.0
Karenga,Northern,Karamoja,2020,81.2,83.4,54.7
Karenga,Northern,Karamoja,2021,90.6,83.3,54.0
Karenga,Northern,Karamoja,2022,80.1,81.3,53.3
Karenga,Northern,Karamoja,2023,77.0,80.0,53.5
Karenga,Northern,Karamoja,2024,69.9,78.1,51.9
Kitgum,Northern,Acholi,2020,75.0,65.1,28.9
Kitgum,Northern,Acholi,2021,83.2,64.9,26.9
Kitgum,Northern,Acholi,2022,78.8,64.7,25.4
Kitgum,Northern,Acholi,2023,71.5,64.7,26.3
Kitgum,Northern,Acholi,2024,66.8,61.6,26.5
Koboko,Northern,West Nile,2020,70.5,58.8,28.9
Koboko,Northern,West Nile,2021,76.2,55.9,26.3
Koboko,Northern,West Nile,2022,74.1,54.5,26.7
Koboko,Northern,West Nile,2023,65.6,55.5,25.3
Koboko,Northern,West Nile,2024,59.7,53.9,26.1
Kole,Northern,Lango,2020,70.8,49.6,19.5
Kole,Northern,Lango,2021,81.1,48.6,20.6
Kole,Northern,Lango,2022,75.9,46.4,19.6
Kole,Northern,Lango,2023,66.8,46.4,19.6
Kole,Northern,Lango,2024,63.7,43.9,18.7
Kotido,Northern,Karamoja,2020,80.7,85.8,54.0
Kotido,Northern,Karamoja,2021,89.1,85.5,51.4
Kotido,Northern,Karamoja,2022,79.8,82.4,51.1
Kotido,Northern,Karamoja,2023,74.5,80.7,51.1
Kotido,Northern,Karamoja,2024,71.3,79.8,50.8
Kwania,Northern,Lango,2020,72.3,49.9,22.3
Kwania,Northern,Lango,2021,81.8,48.0,22.2
Kwania,Northern,Lango,2022,74.5,46.4,21.5
Kwania,Northern,Lango,2023,71.5,44.9,22.5
Kwania,Northern,Lango,2024,62.8,43.6,20.2
Lamwo,Northern,Acholi,2020,72.7,63.6,31.5
Lamwo,Northern,Acholi,2021,83.0,62.4,28.8
Lamwo,Northern,Acholi,2022,75.2,61.3,28.1
Lamwo,Northern,Acholi,2023,69.1,59.4,29.6
Lamwo,Northern,Acholi,2024,63.8,60.3,26.8
Lira,Northern,Lango,2020,70.4,51.5,22.2
Lira,Northern,Lango,2021,77.6,51.6,19.0
Lira,Northern,Lango,2022,74.2,47.8,19.3
Lira,Northern,Lango,2023,71.6,47.3,17.8
Lira,Northern,Lango,2024,63.2,47.9,19.0
Madi-Okollo,Northern,West Nile,2020,70.0,57.8,30.0
Madi-Okollo,Northern,West Nile,2021,76.5,57.9,27.6
Madi-Okollo,Northern,West Nile,2022,72.1,54.4,27.0
Madi-Okollo,Northern,West Nile,2023,68.1,54.7,27.6
Madi-Okollo,Northern,West Nile,2024,64.0,54.5,27.9
Maracha,Northern,West Nile,2020,69.3,55.7,28.7
Maracha,Northern,West Nile,2021,79.5,56.1,29.3
Maracha,Northern,West Nile,2022,72.6,54.8,27.9
Maracha,Northern,West Nile,2023,68.8,52.9,25.8
Maracha,Northern,West Nile,2024,62.7,51.7,27.4
Moroto,Northern,Karamoja,2020,76.3,84.0,55.3
Moroto,Northern,Karamoja,2021,90.3,83.6,56.1
Moroto,Northern,Karamoja,2022,82.1,80.2,54.5
Moroto,Northern,Karamoja,2023,76.1,80.4,55.6
Moroto,Northern,Karamoja,2024,68.2,79.6,54.8
Moyo,Northern,West Nile,2020,67.4,54.4,29.4
Moyo,Northern,West Nile,2021,77.4,52.7,30.0
Moyo,Northern,West Nile,2022,74.7,51.2,28.7
Moyo,Northern,West Nile,2023,67.5,51.5,27.8
Moyo,Northern,West Nile,2024,62.0,49.5,27.9
Nabilatuk,Northern,Karamoja,2020,79.5,88.2,58.3
Nabilatuk,Northern,Karamoja,2021,86.7,86.3,55.1
Nabilatuk,Northern,Karamoja,2022,82.2,86.6,55.8
Nabilatuk,Northern,Karamoja,2023,77.6,84.0,54.4
Nabilatuk,Northern,Karamoja,2024,70.9,84.0,55.0
Nakapiripirit,Northern,Karamoja,2020,76.9,82.5,54.9
Nakapiripirit,Northern,Karamoja,2021,87.8,82.2,55.3
Nakapiripirit,Northern,Karamoja,2022,83.9,80.1,54.9
Nakapiripirit,Northern,Karamoja,2023,75.0,80.4,55.8
Nakapiripirit,Northern,Karamoja,2024,70.9,79.1,53.2
Napak,Northern,Karamoja,2020,77.5,83.4,54.1
Napak,Northern,Karamoja,2021,87.3,82.9,55.7
Napak,Northern,Karamoja,2022,84.0,81.9,55.0
Napak,Northern,Karamoja,2023,77.3,80.9,53.0
Napak,Northern,Karamoja,2024,73.3,79.5,53.7
Nebbi,Northern,West Nile,2020,67.4,54.3,30.9
Nebbi,Northern,West Nile,2021,75.2,55.1,31.1
Nebbi,Northern,West Nile,2022,72.0,53.1,29.9
Nebbi,Northern,West Nile,2023,69.4,52.2,30.2
Nebbi,Northern,West Nile,2024,64.9,50.6,28.5
Nwoya,Northern,Acholi,2020,71.8,61.8,29.7
Nwoya,Northern,Acholi,2021,83.3,60.5,28.7
Nwoya,Northern,Acholi,2022,74.3,61.7,28.9
Nwoya,Northern,Acholi,2023,68.3,61.0,28.3
Nwoya,Northern,Acholi,2024,62.8,59.4,26.7
Obongi,Northern,West Nile,2020,70.9,52.9,25.5
Obongi,Northern,West Nile,2021,77.0,51.8,25.3
Obongi,Northern,West Nile,2022,72.6,48.6,24.3
Obongi,Northern,West Nile,2023,66.9,49.0,24.6
Obongi,Northern,West Nile,2024,62.3,47.3,25.4
Omoro,Northern,Acholi,2020,72.8,65.9,30.5
Omoro,Northern,Acholi,2021,83.1,65.1,31.6
Omoro,Northern,Acholi,2022,76.2,64.7,29.3
