District,Region,UDHS_Subregion,ITN_Net_Usage_2020_pct,Poor_Housing_2020_pct,Lack_Maternal_Education_2020_pct,ITN_Net_Usage_2021_pct,Poor_Housing_2021_pct,Lack_Maternal_Education_2021_pct,ITN_Net_Usage_2022_pct,Poor_Housing_2022_pct,Lack_Maternal_Education_2022_pct,ITN_Net_Usage_2023_pct,Poor_Housing_2023_pct,Lack_Maternal_Education_2023_pct,ITN_Net_Usage_2024_pct,Poor_Housing_2024_pct,Lack_Maternal_Education_2024_pct,Avg_ITN_Usage_pct,Avg_Poor_Housing_pct,Avg_Lack_Maternal_Education_pct,Data_Source
Kiboga,Central,North Central,56.1,19.6,8.5,57.3,21.0,9.8,57.3,17.3,7.5,49.5,17.7,8.1,47.4,17.0,8.1,53.5,18.5,8.4,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kyankwanzi,Central,North Central,55.9,25.9,5.1,60.3,22.6,4.7,56.8,21.4,4.2,49.0,20.5,4.0,48.3,21.7,2.6,54.1,22.4,4.1,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kyotera,Central,South Central,51.5,20.6,6.1,59.0,20.6,6.0,54.3,18.0,4.7,48.1,17.9,5.3,47.6,17.1,5.9,52.1,18.8,5.6,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Luweero,Central,North Central,52.4,20.6,6.9,57.9,20.8,7.4,56.8,17.7,7.7,53.6,17.8,5.5,48.2,15.8,5.4,53.8,18.5,6.6,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Lwengo,Central,South Central,52.9,17.1,2.7,59.1,15.9,1.7,56.2,17.0,2.1,51.7,14.6,1.9,47.5,14.2,1.7,53.5,15.8,2.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Lyantonde,Central,South Central,51.8,20.0,7.0,60.2,18.7,7.5,55.0,19.1,4.8,47.0,18.0,6.0,43.9,15.5,6.5,51.6,18.3,6.4,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Masaka,Central,South Central,51.3,18.4,2.7,55.6,16.5,3.6,56.4,15.3,0.9,48.4,15.1,1.4,48.1,12.5,0.5,52.0,15.6,1.8,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Mityana,Central,North Central,53.5,19.8,5.6,57.1,17.6,3.3,53.0,18.3,5.5,53.0,17.1,3.7,47.9,15.8,3.5,52.9,17.7,4.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Mpigi,Central,South Central,54.2,16.8,5.8,59.8,16.8,7.2,52.6,14.7,6.5,52.6,13.7,6.4,43.7,12.9,4.2,52.6,15.0,6.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Mubende,Central,North Central,53.2,21.0,5.6,57.7,20.3,4.8,55.8,20.7,4.1,50.3,19.9,3.7,49.8,18.2,3.4,53.4,20.0,4.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Mukono,Central,North Central,56.1,25.5,7.4,59.5,23.2,9.7,53.3,22.7,8.0,49.8,22.4,8.1,49.5,19.9,7.1,53.6,22.7,8.1,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Nakaseke,Central,North Central,53.9,24.1,7.4,59.5,23.9,7.6,53.9,23.7,7.9,53.5,21.3,7.1,45.3,20.1,7.9,53.2,22.6,7.6,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Nakasongola,Central,North Central,51.8,18.7,7.0,59.2,19.0,6.3,58.6,16.4,3.5,49.7,16.0,5.5,49.6,13.9,3.6,53.8,16.8,5.2,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Rakai,Central,South Central,53.5,21.9,7.8,56.0,20.4,5.8,51.0,19.9,6.1,50.8,16.5,6.1,49.3,17.2,5.5,52.1,19.2,6.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Sembabule,Central,South Central,54.1,18.4,6.0,60.0,17.5,5.4,56.5,16.4,6.1,48.2,15.8,3.6,47.0,12.5,5.5,53.2,16.1,5.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Wakiso,Central,South Central,53.3,20.6,3.7,58.2,20.0,4.0,55.6,17.2,2.9,51.7,17.9,2.9,47.7,15.0,2.0,53.3,18.1,3.1,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Amuria,Eastern,Teso,66.3,48.7,16.3,78.2,48.4,17.0,72.5,46.4,15.8,64.5,45.3,15.4,63.3,44.3,13.9,69.0,46.6,15.7,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Budaka,Eastern,Bukedi,65.4,46.2,14.1,76.5,43.4,13.4,67.2,44.8,15.2,66.0,42.3,14.8,61.1,40.3,12.7,67.2,43.4,14.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Bududa,Eastern,Bugisu,61.3,39.3,15.8,63.6,38.2,15.9,63.0,37.0,16.0,55.1,37.1,16.3,52.4,36.0,16.4,59.1,37.5,16.1,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Bugiri,Eastern,Busoga,61.2,38.0,16.5,67.9,38.2,15.4,64.4,38.6,15.3,57.5,35.8,16.8,53.7,34.0,16.3,60.9,36.9,16.1,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Bugweri,Eastern,Busoga,63.9,44.2,14.8,65.2,43.8,14.1,66.0,41.9,12.4,61.2,41.7,12.1,53.8,40.7,12.1,62.0,42.5,13.1,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Bukedea,Eastern,Teso,68.5,48.2,19.4,78.8,46.4,18.1,70.1,45.3,18.7,67.4,46.4,18.4,60.9,43.9,19.4,69.1,46.0,18.8,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Bukwo,Eastern,Bugisu,58.0,38.4,14.9,65.8,36.7,14.6,63.1,35.4,16.1,55.8,33.9,14.1,50.6,31.7,13.8,58.7,35.2,14.7,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Bulambuli,Eastern,Bugisu,59.4,39.9,14.9,67.3,40.5,16.2,59.2,37.0,15.0,58.3,37.1,15.3,51.1,36.1,14.8,59.1,38.1,15.2,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Busia,Eastern,Bukedi,67.5,44.4,18.2,75.5,45.7,19.5,68.8,43.1,17.8,63.5,42.8,18.1,61.7,41.4,18.4,67.4,43.5,18.4,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Butaleja,Eastern,Bukedi,65.9,43.4,17.4,71.1,43.3,19.2,69.5,42.8,16.3,61.5,40.4,16.3,56.9,39.6,15.2,65.0,41.9,16.9,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Butebo,Eastern,Bukedi,63.9,43.0,19.5,71.6,42.4,18.3,66.0,43.4,17.8,63.4,40.6,17.9,56.7,40.7,15.9,64.3,42.0,17.9,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Buyende,Eastern,Busoga,61.4,41.9,14.8,66.3,39.9,15.8,60.7,40.2,14.2,56.4,38.7,16.0,53.5,37.2,14.3,59.7,39.6,15.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Iganga,Eastern,Busoga,58.4,41.2,14.6,69.1,38.4,14.6,62.9,37.8,13.3,56.6,36.7,11.8,57.3,35.7,12.9,60.9,38.0,13.4,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Jinja,Eastern,Busoga,60.0,38.9,15.2,68.9,38.9,12.2,64.0,36.1,14.2,56.5,37.2,11.5,53.0,33.9,11.7,60.5,37.0,13.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kaberamaido,Eastern,Teso,70.5,49.2,21.7,74.0,46.9,22.3,70.5,46.4,19.9,64.3,45.9,19.7,59.5,44.5,18.8,67.8,46.6,20.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kalaki,Eastern,Teso,66.2,45.6,20.4,75.8,44.8,18.7,69.1,43.9,18.8,67.7,43.3,18.1,58.8,42.9,18.8,67.5,44.1,19.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kaliro,Eastern,Busoga,59.2,41.9,15.7,66.1,41.7,16.2,65.4,39.0,14.6,55.6,40.3,14.0,56.3,37.8,12.1,60.5,40.1,14.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kamuli,Eastern,Busoga,64.1,41.8,15.5,67.0,39.9,13.6,63.7,40.2,14.6,61.0,37.7,14.7,55.2,36.0,11.7,62.2,39.1,14.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kapchorwa,Eastern,Bugisu,57.0,43.4,15.8,67.5,42.8,13.0,60.9,41.5,14.7,54.0,39.7,13.1,51.2,37.9,11.9,58.1,41.1,13.7,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kapelebyong,Eastern,Teso,71.1,44.6,22.4,75.3,43.3,21.2,70.8,43.0,18.9,66.0,41.0,20.9,63.8,39.8,20.0,69.4,42.3,20.7,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Katakwi,Eastern,Teso,68.4,50.1,21.1,73.6,48.2,22.4,71.9,48.9,22.2,68.1,48.4,22.3,63.4,45.4,19.7,69.1,48.2,21.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kibuku,Eastern,Bukedi,66.3,41.0,17.9,74.5,42.6,18.3,67.2,41.4,16.4,61.5,39.8,15.7,57.5,38.9,14.9,65.4,40.7,16.6,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kumi,Eastern,Teso,67.3,44.7,20.1,76.7,44.5,20.8,73.6,44.5,17.9,62.5,42.4,19.0,59.6,42.3,17.4,67.9,43.7,19.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kween,Eastern,Bugisu,57.8,41.5,16.7,66.6,41.3,16.4,59.5,39.7,14.6,58.7,38.4,15.8,52.2,39.1,13.8,59.0,40.0,15.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Luuka,Eastern,Busoga,62.5,44.7,14.6,66.2,44.6,13.2,61.7,41.2,14.0,61.0,40.5,13.8,55.3,40.6,13.7,61.3,42.3,13.9,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Manafwa,Eastern,Bugisu,62.1,38.2,14.2,65.6,36.1,13.6,62.4,36.4,11.1,59.3,33.4,12.2,50.1,34.7,10.5,59.9,35.8,12.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
