District,Region,Reference_Station,EVI_2020,EVI_2021,EVI_2022,EVI_2023,EVI_2024,Avg_EVI_2020_2024
Maracha,Northern,Arua,0.547,0.565,0.535,0.507,0.528,0.536
Moroto,Northern,Kotido,0.309,0.308,0.303,0.298,0.252,0.294
Moyo,Northern,Wadelai,0.429,0.416,0.455,0.434,0.428,0.432
Nabilatuk,Northern,Kotido,0.331,0.328,0.347,0.283,0.292,0.316
Nakapiripirit,Northern,Kotido,0.305,0.296,0.27,0.265,0.27,0.281
Napak,Northern,Kotido,0.369,0.358,0.342,0.349,0.366,0.357
Nebbi,Northern,Wadelai,0.461,0.443,0.428,0.441,0.439,0.442
Nwoya,Northern,Gulu,0.56,0.567,0.533,0.517,0.499,0.535
Obongi,Northern,Wadelai,0.397,0.403,0.41,0.439,0.476,0.425
Omoro,Northern,Gulu,0.53,0.548,0.521,0.553,0.563,0.543
Otuke,Northern,Lira,0.561,0.538,0.584,0.516,0.482,0.536
Oyam,Northern,Lira,0.464,0.491,0.497,0.516,0.497,0.493
Pader,Northern,Kitgum,0.473,0.464,0.445,0.444,0.465,0.458
Pakwach,Northern,Wadelai,0.444,0.446,0.464,0.462,0.441,0.451
Terego,Northern,Arua,0.465,0.467,0.486,0.498,0.509,0.485
Yumbe,Northern,Arua,0.44,0.493,0.521,0.502,0.507,0.493
Zombo,Northern,Wadelai,0.452,0.443,0.444,0.43,0.469,0.448
Buhweju,Western,Mbarara,0.36,0.399,0.376,0.395,0.434,0.393
Buliisa,Western,Masindi,0.651,0.608,0.623,0.599,0.629,0.622
Bundibugyo,Western,Kasese,0.486,0.496,0.503,0.484,0.51,0.496
Bunyangabu,Western,Kyembogo,0.685,0.641,0.612,0.631,0.645,0.643
Bushenyi,Western,Mbarara,0.389,0.414,0.419,0.453,0.414,0.418
Hoima,Western,Masindi,0.571,0.574,0.504,0.488,0.525,0.532
Ibanda,Western,Mbarara,0.412,0.415,0.427,0.418,0.421,0.419
Isingiro,Western,Mbarara,0.401,0.397,0.42,0.432,0.434,0.417
Kabale,Western,Kabale,0.563,0.602,0.568,0.558,0.582,0.575
Kabarole,Western,Kyembogo,0.614,0.636,0.627,0.609,0.604,0.618
Kagadi,Western,Kibanda,0.406,0.409,0.419,0.402,0.393,0.406
Kakumiro,Western,Kibanda,0.386,0.386,0.411,0.409,0.394,0.397
Kamwenge,Western,Kyembogo,0.582,0.56,0.537,0.505,0.511,0.539
Kanungu,Western,Kabale,0.591,0.576,0.593,0.568,0.58,0.582
Kasese,Western,Kasese,0.527,0.53,0.52,0.524,0.515,0.523
Kazo,Western,Mbarara,0.404,0.407,0.414,0.392,0.357,0.395
Kibaale,Western,Kibanda,0.394,0.394,0.395,0.428,0.428,0.408
Kikuube,Western,Masindi,0.516,0.512,0.493,0.454,0.481,0.491
Kiruhura,Western,Mbarara,0.423,0.408,0.435,0.467,0.446,0.436
Kiryandongo,Western,Kibanda,0.51,0.507,0.47,0.441,0.475,0.481
Kisoro,Western,Kabale,0.525,0.528,0.547,0.573,0.551,0.545
Kitagwenda,Western,Kyembogo,0.536,0.507,0.531,0.516,0.501,0.518
Kyegegwa,Western,Kyembogo,0.594,0.558,0.541,0.511,0.494,0.54
Kyenjojo,Western,Kyembogo,0.503,0.464,0.413,0.387,0.415,0.436
Masindi,Western,Masindi,0.623,0.642,0.647,0.63,0.627,0.634
Mbarara,Western,Mbarara,0.477,0.476,0.462,0.445,0.432,0.458
Mitooma,Western,Mbarara,0.433,0.45,0.448,0.444,0.423,0.44
Ntoroko,Western,Kasese,0.494,0.471,0.481,0.499,0.523,0.494
Ntungamo,Western,Mbarara,0.374,0.405,0.427,0.425,0.467,0.42
Rubanda,Western,Kabale,0.545,0.548,0.59,0.559,0.599,0.568
Rubirizi,Western,Mbarara,0.378,0.398,0.427,0.434,0.437,0.415
Rukiga,Western,Kabale,0.539,0.542,0.542,0.551,0.486,0.532
Rukungiri,Western,Kabale,0.576,0.544,0.544,0.548,0.54,0.55
Rwampara,Western,Mbarara,0.441,0.392,0.412,0.387,0.402,0.407
Sheema,Western,Mbarara,0.455,0.417,0.42,0.456,0.414,0.432
Arua City,Northern,Arua,0.29,0.316,0.331,0.279,0.276,0.298
Entebbe City,Central,Entebbe,0.214,0.226,0.236,0.233,0.257,0.233
Fort Portal City,Western,Kyembogo,0.294,0.258,0.257,0.248,0.286,0.269
Gulu City,Northern,Gulu,0.325,0.32,0.285,0.295,0.315,0.308
Hoima City,Western,Masindi,0.289,0.296,0.275,0.28,0.27,0.282
Jinja City,Eastern,Jinja,0.225,0.22,0.239,0.251,0.241,0.235
Lira City,Northern,Lira,0.289,0.29,0.273,0.307,0.315,0.295
Masaka City,Central,Mbarara,0.19,0.177,0.149,0.129,0.144,0.158
Mbale City,Eastern,Buginyanya,0.282,0.289,0.281,0.289,0.321,0.292
Mbarara City,Western,Mbarara,0.168,0.119,0.17,0.174,0.163,0.159
