District,Region,Year,Rainfall_mm,DayTemp_C,NightTemp_C,NDVI,EVI,Wetland_Proximity_Score,Wetland_Proximity_Category,Est_Distance_to_Wetland_km
Kampala,Central,2023,1858.8,28.4,18.9,0.453,0.237,0.067,Far (>25 km),36.6
Kampala,Central,2024,1748.0,28.3,17.4,0.41,0.24,0.068,Far (>25 km),34.7
Kasanda,Central,2020,1134.4,27.3,16.8,0.592,0.463,0.81,"Very Near (Adjacent, 0-2 km)",7.7
Kasanda,Central,2021,1193.7,28.4,14.7,0.616,0.456,0.831,"Very Near (Adjacent, 0-2 km)",6.4
Kasanda,Central,2022,1196.0,28.0,15.7,0.614,0.471,0.817,"Very Near (Adjacent, 0-2 km)",7.6
Kasanda,Central,2023,1119.4,27.5,17.3,0.611,0.475,0.808,"Very Near (Adjacent, 0-2 km)",7.0
Kasanda,Central,2024,1218.1,27.5,16.2,0.618,0.491,0.821,"Very Near (Adjacent, 0-2 km)",7.1
Kayunga,Central,2020,1922.9,28.4,17.5,0.78,0.654,0.248,Far (>25 km),27.6
Kayunga,Central,2021,1986.8,28.7,17.9,0.801,0.626,0.252,Far (>25 km),29.0
Kayunga,Central,2022,2169.8,27.6,18.5,0.784,0.627,0.274,Far (>25 km),28.7
Kayunga,Central,2023,1426.2,28.4,18.2,0.809,0.63,0.277,Far (>25 km),26.9
Kayunga,Central,2024,1506.9,27.9,18.2,0.785,0.652,0.277,Far (>25 km),28.6
Kiboga,Central,2020,1205.6,27.5,17.5,0.631,0.478,0.681,Near (2-10 km),10.9
Kiboga,Central,2021,1162.3,27.8,16.0,0.618,0.492,0.682,Near (2-10 km),11.6
Kiboga,Central,2022,1334.7,27.5,15.4,0.655,0.5,0.674,Near (2-10 km),11.3
Kiboga,Central,2023,1339.0,27.6,16.8,0.643,0.472,0.672,Near (2-10 km),13.3
Kiboga,Central,2024,1185.3,27.8,16.2,0.647,0.481,0.669,Near (2-10 km),12.9
Kyankwanzi,Central,2020,940.5,27.0,17.1,0.541,0.432,0.805,"Very Near (Adjacent, 0-2 km)",6.7
Kyankwanzi,Central,2021,1226.2,27.6,15.4,0.607,0.457,0.829,"Very Near (Adjacent, 0-2 km)",6.0
Kyankwanzi,Central,2022,1266.1,28.2,17.5,0.633,0.44,0.804,"Very Near (Adjacent, 0-2 km)",7.3
Kyankwanzi,Central,2023,1364.1,27.4,17.1,0.65,0.476,0.824,"Very Near (Adjacent, 0-2 km)",6.7
Kyankwanzi,Central,2024,1119.6,28.1,16.6,0.606,0.458,0.831,"Very Near (Adjacent, 0-2 km)",6.2
Kyotera,Central,2020,1011.5,28.3,16.2,0.579,0.403,0.818,"Very Near (Adjacent, 0-2 km)",7.4
Kyotera,Central,2021,1167.7,28.0,15.0,0.602,0.421,0.815,"Very Near (Adjacent, 0-2 km)",7.6
Kyotera,Central,2022,875.7,28.5,15.5,0.596,0.396,0.815,"Very Near (Adjacent, 0-2 km)",6.2
Kyotera,Central,2023,1070.4,28.4,15.0,0.58,0.396,0.802,"Very Near (Adjacent, 0-2 km)",8.2
Kyotera,Central,2024,1186.9,28.4,16.0,0.607,0.459,0.826,"Very Near (Adjacent, 0-2 km)",7.7
Luweero,Central,2020,1563.3,28.6,17.2,0.728,0.596,0.824,"Very Near (Adjacent, 0-2 km)",6.9
Luweero,Central,2021,1641.9,28.9,16.9,0.73,0.594,0.803,"Very Near (Adjacent, 0-2 km)",8.3
Luweero,Central,2022,1882.5,29.1,18.1,0.729,0.584,0.801,"Very Near (Adjacent, 0-2 km)",7.4
Luweero,Central,2023,1776.0,28.4,17.6,0.728,0.606,0.802,"Very Near (Adjacent, 0-2 km)",7.2
Luweero,Central,2024,2054.4,28.7,17.9,0.712,0.586,0.809,"Very Near (Adjacent, 0-2 km)",7.1
Lwengo,Central,2020,920.7,28.6,15.4,0.518,0.387,0.092,Far (>25 km),34.6
Lwengo,Central,2021,848.2,28.3,16.3,0.51,0.344,0.073,Far (>25 km),35.9
Lwengo,Central,2022,936.5,27.9,16.5,0.538,0.399,0.093,Far (>25 km),35.3
Lwengo,Central,2023,1181.8,27.9,16.3,0.605,0.387,0.065,Far (>25 km),35.8
Lwengo,Central,2024,1027.2,28.5,16.6,0.606,0.367,0.099,Far (>25 km),33.7
Lyantonde,Central,2020,780.7,27.8,15.7,0.52,0.391,0.071,Far (>25 km),36.1
Lyantonde,Central,2021,665.3,27.6,15.6,0.509,0.393,0.078,Far (>25 km),34.8
Lyantonde,Central,2022,752.3,27.9,15.0,0.514,0.378,0.096,Far (>25 km),34.1
Lyantonde,Central,2023,997.8,27.8,16.0,0.54,0.42,0.071,Far (>25 km),34.6
Lyantonde,Central,2024,878.8,28.2,15.9,0.548,0.419,0.077,Far (>25 km),35.5
Masaka,Central,2020,699.3,28.4,16.8,0.511,0.4,0.678,Near (2-10 km),12.9
Masaka,Central,2021,892.3,28.7,16.2,0.514,0.41,0.586,Near (2-10 km),15.1
Masaka,Central,2022,856.6,28.6,15.9,0.503,0.391,0.608,Near (2-10 km),14.8
Masaka,Central,2023,1014.6,28.5,16.9,0.573,0.42,0.603,Near (2-10 km),16.1
Masaka,Central,2024,1065.5,27.7,15.6,0.581,0.479,0.594,Near (2-10 km),14.7
Mityana,Central,2020,1455.3,27.9,16.8,0.707,0.514,0.798,"Very Near (Adjacent, 0-2 km)",7.6
Mityana,Central,2021,1152.7,27.3,16.1,0.672,0.511,0.809,"Very Near (Adjacent, 0-2 km)",7.2
Mityana,Central,2022,1233.8,27.4,16.3,0.626,0.505,0.797,"Very Near (Adjacent, 0-2 km)",6.5
Mityana,Central,2023,1400.5,27.6,17.5,0.698,0.504,0.812,"Very Near (Adjacent, 0-2 km)",7.8
Mityana,Central,2024,1226.9,27.9,17.3,0.696,0.51,0.809,"Very Near (Adjacent, 0-2 km)",8.2
Mpigi,Central,2020,1394.4,28.5,18.1,0.674,0.478,0.69,Near (2-10 km),11.5
Mpigi,Central,2021,2259.9,29.0,18.2,0.712,0.509,0.698,Near (2-10 km),10.8
Mpigi,Central,2022,2176.5,28.7,17.9,0.719,0.535,0.691,Near (2-10 km),12.6
Mpigi,Central,2023,2020.2,28.5,18.6,0.702,0.562,0.688,Near (2-10 km),11.4
Mpigi,Central,2024,1148.3,28.6,19.1,0.65,0.544,0.671,Near (2-10 km),12.7
Mubende,Central,2020,1017.2,28.2,18.2,0.572,0.43,0.804,"Very Near (Adjacent, 0-2 km)",7.1
Mubende,Central,2021,1140.3,27.3,16.8,0.608,0.425,0.818,"Very Near (Adjacent, 0-2 km)",8.0
Mubende,Central,2022,1170.9,26.9,17.1,0.622,0.486,0.824,"Very Near (Adjacent, 0-2 km)",6.7
Mubende,Central,2023,1114.4,27.9,15.3,0.608,0.493,0.831,"Very Near (Adjacent, 0-2 km)",6.0
Mubende,Central,2024,1028.0,28.1,15.7,0.615,0.441,0.812,"Very Near (Adjacent, 0-2 km)",7.6
Mukono,Central,2020,1577.2,26.0,18.1,0.785,0.635,0.269,Far (>25 km),27.1
Mukono,Central,2021,1427.3,25.8,18.2,0.788,0.618,0.263,Far (>25 km),28.8
Mukono,Central,2022,1460.7,26.2,18.3,0.801,0.62,0.256,Far (>25 km),28.8
Mukono,Central,2023,1555.3,26.0,18.3,0.792,0.598,0.249,Far (>25 km),29.6
Mukono,Central,2024,1576.8,25.6,18.4,0.76,0.604,0.274,Far (>25 km),27.2
Nakaseke,Central,2020,1356.9,28.0,16.7,0.642,0.482,0.836,"Very Near (Adjacent, 0-2 km)",6.9
Nakaseke,Central,2021,1678.7,27.6,17.1,0.686,0.499,0.799,"Very Near (Adjacent, 0-2 km)",7.0
Nakaseke,Central,2022,1951.3,28.1,18.4,0.714,0.546,0.816,"Very Near (Adjacent, 0-2 km)",8.2
Nakaseke,Central,2023,1890.1,27.9,18.0,0.748,0.562,0.802,"Very Near (Adjacent, 0-2 km)",6.4
Nakaseke,Central,2024,1710.8,28.5,17.5,0.714,0.528,0.809,"Very Near (Adjacent, 0-2 km)",6.2
Nakasongola,Central,2020,1747.6,28.5,18.3,0.72,0.514,0.683,Near (2-10 km),12.1
Nakasongola,Central,2021,1834.5,28.9,18.0,0.733,0.526,0.684,Near (2-10 km),11.1
Nakasongola,Central,2022,1784.0,28.9,18.5,0.723,0.561,0.668,Near (2-10 km),13.3
Nakasongola,Central,2023,2097.0,28.9,18.5,0.674,0.565,0.684,Near (2-10 km),12.0
Nakasongola,Central,2024,2009.9,28.2,18.7,0.713,0.547,0.686,Near (2-10 km),12.4
Rakai,Central,2020,1274.2,28.4,16.6,0.683,0.537,0.099,Far (>25 km),35.0
Rakai,Central,2021,1224.1,28.6,16.6,0.673,0.53,0.092,Far (>25 km),34.1
Rakai,Central,2022,1006.2,28.4,16.3,0.599,0.481,0.07,Far (>25 km),34.4
Rakai,Central,2023,972.1,28.0,16.6,0.567,0.467,0.098,Far (>25 km),33.2
Rakai,Central,2024,1305.0,28.2,16.6,0.611,0.468,0.086,Far (>25 km),35.7
Sembabule,Central,2020,952.7,27.7,16.1,0.597,0.432,0.076,Far (>25 km),34.8
Sembabule,Central,2021,907.4,27.9,16.0,0.578,0.428,0.08,Far (>25 km),36.0
Sembabule,Central,2022,1019.5,27.5,15.4,0.574,0.438,0.091,Far (>25 km),35.4
Sembabule,Central,2023,819.1,27.7,16.7,0.573,0.463,0.065,Far (>25 km),36.1
Sembabule,Central,2024,807.6,28.2,16.6,0.538,0.418,0.081,Far (>25 km),34.7
Wakiso,Central,2020,1568.1,28.0,17.3,0.536,0.322,0.096,Far (>25 km),34.9
Wakiso,Central,2021,1599.2,28.4,17.8,0.504,0.311,0.1,Far (>25 km),34.8
Wakiso,Central,2022,1196.6,27.8,18.1,0.44,0.279,0.1,Far (>25 km),34.0
Wakiso,Central,2023,1713.4,27.6,18.4,0.484,0.26,0.086,Far (>25 km),35.4
Wakiso,Central,2024,1933.5,27.7,18.5,0.52,0.314,0.081,Far (>25 km),34.1
Amuria,Eastern,2020,1560.7,30.4,18.4,0.73,0.575,0.82,"Very Near (Adjacent, 0-2 km)",7.7
Amuria,Eastern,2021,1201.4,30.6,18.5,0.679,0.574,0.731,Near (2-10 km),9.3
Amuria,Eastern,2022,1194.7,29.9,18.3,0.61,0.531,0.812,"Very Near (Adjacent, 0-2 km)",6.5
Amuria,Eastern,2023,1110.5,29.8,18.8,0.586,0.521,0.81,"Very Near (Adjacent, 0-2 km)",8.3
Amuria,Eastern,2024,1078.6,30.2,18.9,0.572,0.493,0.814,"Very Near (Adjacent, 0-2 km)",6.6
Budaka,Eastern,2020,1375.6,30.1,17.5,0.654,0.52,0.808,"Very Near (Adjacent, 0-2 km)",7.2
Budaka,Eastern,2021,1424.3,30.3,17.5,0.678,0.511,0.823,"Very Near (Adjacent, 0-2 km)",6.3
Budaka,Eastern,2022,1004.4,29.7,17.3,0.613,0.492,0.804,"Very Near (Adjacent, 0-2 km)",6.8
Budaka,Eastern,2023,1155.9,30.0,17.4,0.624,0.477,0.807,"Very Near (Adjacent, 0-2 km)",8.3
Budaka,Eastern,2024,1383.7,30.1,17.4,0.647,0.465,0.803,"Very Near (Adjacent, 0-2 km)",8.1
Bududa,Eastern,2020,2288.2,28.1,16.2,0.793,0.659,0.801,"Very Near (Adjacent, 0-2 km)",8.2
Bududa,Eastern,2021,2061.8,28.0,16.4,0.799,0.639,0.807,"Very Near (Adjacent, 0-2 km)",8.0
Bududa,Eastern,2022,1851.6,28.3,16.2,0.808,0.629,0.814,"Very Near (Adjacent, 0-2 km)",6.1
Bududa,Eastern,2023,1981.4,28.6,16.4,0.821,0.644,0.8,"Very Near (Adjacent, 0-2 km)",8.3
Bududa,Eastern,2024,1950.7,28.3,15.7,0.801,0.641,0.818,"Very Near (Adjacent, 0-2 km)",6.9
Bugiri,Eastern,2020,1247.5,29.0,16.8,0.625,0.521,0.911,"Very Near (Adjacent, 0-2 km)",3.8
Bugiri,Eastern,2021,1312.5,29.0,17.1,0.609,0.532,0.916,"Very Near (Adjacent, 0-2 km)",2.1
Bugiri,Eastern,2022,1515.6,28.7,17.9,0.689,0.55,0.921,"Very Near (Adjacent, 0-2 km)",2.6
Bugiri,Eastern,2023,1377.2,28.9,17.3,0.706,0.556,0.831,"Very Near (Adjacent, 0-2 km)",6.5
Bugiri,Eastern,2024,1428.3,28.4,17.2,0.689,0.521,0.928,"Very Near (Adjacent, 0-2 km)",1.8
Bugweri,Eastern,2020,1299.0,29.1,17.0,0.634,0.492,0.825,"Very Near (Adjacent, 0-2 km)",6.9
Bugweri,Eastern,2021,1183.8,29.3,17.3,0.598,0.448,0.831,"Very Near (Adjacent, 0-2 km)",7.3
Bugweri,Eastern,2022,1254.4,28.9,17.0,0.618,0.449,0.819,"Very Near (Adjacent, 0-2 km)",7.1
Bugweri,Eastern,2023,1312.8,28.9,16.8,0.637,0.459,0.827,"Very Near (Adjacent, 0-2 km)",6.0
Bugweri,Eastern,2024,1346.5,28.6,17.2,0.691,0.482,0.818,"Very Near (Adjacent, 0-2 km)",7.6
Bukedea,Eastern,2020,1378.0,31.0,18.5,0.671,0.527,0.82,"Very Near (Adjacent, 0-2 km)",6.9
Bukedea,Eastern,2021,1231.1,30.5,17.8,0.632,0.489,0.831,"Very Near (Adjacent, 0-2 km)",7.6
Bukedea,Eastern,2022,1399.6,31.3,19.1,0.603,0.528,0.807,"Very Near (Adjacent, 0-2 km)",6.3
Bukedea,Eastern,2023,1331.4,30.8,19.4,0.656,0.503,0.821,"Very Near (Adjacent, 0-2 km)",6.0
Bukedea,Eastern,2024,1360.7,30.9,18.5,0.662,0.521,0.835,"Very Near (Adjacent, 0-2 km)",6.2
Bukwo,Eastern,2020,1717.7,27.8,16.0,0.768,0.605,0.818,"Very Near (Adjacent, 0-2 km)",7.7
Bukwo,Eastern,2021,2255.6,28.2,15.9,0.788,0.653,0.831,"Very Near (Adjacent, 0-2 km)",5.6
Bukwo,Eastern,2022,2104.9,27.7,16.0,0.762,0.624,0.815,"Very Near (Adjacent, 0-2 km)",6.3
Bukwo,Eastern,2023,2134.9,28.1,16.0,0.851,0.664,0.815,"Very Near (Adjacent, 0-2 km)",6.1
Bukwo,Eastern,2024,2093.1,28.4,16.4,0.848,0.679,0.832,"Very Near (Adjacent, 0-2 km)",6.0
Bulambuli,Eastern,2020,2205.9,28.6,15.9,0.811,0.693,0.812,"Very Near (Adjacent, 0-2 km)",8.1
Bulambuli,Eastern,2021,2085.1,28.7,15.9,0.802,0.692,0.83,"Very Near (Adjacent, 0-2 km)",6.1
Bulambuli,Eastern,2022,1994.8,29.4,16.0,0.758,0.673,0.817,"Very Near (Adjacent, 0-2 km)",7.3
Bulambuli,Eastern,2023,1914.6,28.5,16.1,0.776,0.657,0.804,"Very Near (Adjacent, 0-2 km)",6.6
Bulambuli,Eastern,2024,2007.7,28.4,16.2,0.757,0.687,0.831,"Very Near (Adjacent, 0-2 km)",5.6
Busia,Eastern,2020,1544.0,29.8,17.5,0.724,0.537,0.825,"Very Near (Adjacent, 0-2 km)",7.2
Busia,Eastern,2021,1522.2,29.7,17.5,0.672,0.526,0.82,"Very Near (Adjacent, 0-2 km)",6.5
Busia,Eastern,2022,1637.8,30.3,17.5,0.678,0.514,0.831,"Very Near (Adjacent, 0-2 km)",7.1
Busia,Eastern,2023,1221.3,30.1,17.2,0.674,0.513,0.8,"Very Near (Adjacent, 0-2 km)",8.6
Busia,Eastern,2024,1248.4,30.5,17.4,0.685,0.494,0.822,"Very Near (Adjacent, 0-2 km)",6.3
Butaleja,Eastern,2020,1434.8,30.4,17.3,0.658,0.496,0.803,"Very Near (Adjacent, 0-2 km)",6.5
Butaleja,Eastern,2021,1457.8,30.4,17.4,0.642,0.506,0.829,"Very Near (Adjacent, 0-2 km)",7.3
Butaleja,Eastern,2022,1611.5,30.3,17.4,0.699,0.508,0.811,"Very Near (Adjacent, 0-2 km)",6.4
Butaleja,Eastern,2023,1386.1,31.0,17.1,0.701,0.527,0.8,"Very Near (Adjacent, 0-2 km)",7.4
Butaleja,Eastern,2024,1567.7,30.7,17.6,0.69,0.515,0.809,"Very Near (Adjacent, 0-2 km)",6.2
Butebo,Eastern,2020,1254.1,29.9,17.3,0.617,0.504,0.809,"Very Near (Adjacent, 0-2 km)",8.0
Butebo,Eastern,2021,1539.4,30.8,17.7,0.65,0.5,0.799,"Very Near (Adjacent, 0-2 km)",7.4
Butebo,Eastern,2022,1489.0,30.3,17.6,0.65,0.536,0.817,"Very Near (Adjacent, 0-2 km)",6.1
Butebo,Eastern,2023,1570.8,29.9,17.6,0.671,0.536,0.798,"Very Near (Adjacent, 0-2 km)",6.7
Butebo,Eastern,2024,1585.4,29.6,17.9,0.721,0.538,0.802,"Very Near (Adjacent, 0-2 km)",8.7
Buyende,Eastern,2020,1160.7,28.7,17.0,0.619,0.493,0.831,"Very Near (Adjacent, 0-2 km)",6.9
Buyende,Eastern,2021,1274.4,28.3,16.9,0.669,0.523,0.833,"Very Near (Adjacent, 0-2 km)",5.9
Buyende,Eastern,2022,1316.3,28.5,17.4,0.657,0.542,0.807,"Very Near (Adjacent, 0-2 km)",8.2
Buyende,Eastern,2023,1168.3,28.4,17.7,0.629,0.539,0.821,"Very Near (Adjacent, 0-2 km)",7.8
Buyende,Eastern,2024,1100.4,28.7,17.2,0.589,0.514,0.811,"Very Near (Adjacent, 0-2 km)",7.0
Iganga,Eastern,2020,1205.1,28.7,16.1,0.615,0.449,0.825,"Very Near (Adjacent, 0-2 km)",7.6
Iganga,Eastern,2021,1242.5,28.2,16.7,0.595,0.474,0.803,"Very Near (Adjacent, 0-2 km)",6.9
Iganga,Eastern,2022,1326.1,28.5,17.0,0.588,0.465,0.797,"Very Near (Adjacent, 0-2 km)",7.9
Iganga,Eastern,2023,1434.8,28.4,16.9,0.649,0.49,0.834,"Very Near (Adjacent, 0-2 km)",6.5
Iganga,Eastern,2024,1275.6,28.7,17.3,0.672,0.524,0.803,"Very Near (Adjacent, 0-2 km)",7.9
Jinja,Eastern,2020,1177.4,28.7,17.8,0.706,0.57,0.273,Far (>25 km),26.7
Jinja,Eastern,2021,1275.0,28.8,17.1,0.738,0.615,0.283,Far (>25 km),27.6
Jinja,Eastern,2022,1096.3,28.5,17.1,0.708,0.647,0.266,Far (>25 km),27.5
Jinja,Eastern,2023,1126.4,28.7,17.2,0.677,0.618,0.253,Far (>25 km),28.3
Jinja,Eastern,2024,1205.3,29.2,17.5,0.689,0.59,0.261,Far (>25 km),27.4
Kaberamaido,Eastern,2020,927.6,30.5,17.0,0.532,0.444,0.693,Near (2-10 km),12.1
Kaberamaido,Eastern,2021,1263.0,30.8,18.3,0.561,0.447,0.705,Near (2-10 km),12.3
Kaberamaido,Eastern,2022,1408.3,30.7,18.4,0.584,0.475,0.685,Near (2-10 km),12.5
Kaberamaido,Eastern,2023,1433.8,31.2,18.9,0.603,0.499,0.682,Near (2-10 km),11.9
Kaberamaido,Eastern,2024,1739.0,30.3,19.7,0.661,0.476,0.689,Near (2-10 km),13.0
Kalaki,Eastern,2020,1268.0,30.4,18.7,0.638,0.494,0.668,Near (2-10 km),12.5
Kalaki,Eastern,2021,1218.9,30.3,18.1,0.62,0.454,0.68,Near (2-10 km),12.9
Kalaki,Eastern,2022,1151.8,30.7,19.1,0.64,0.455,0.705,Near (2-10 km),11.1
Kalaki,Eastern,2023,1158.9,30.7,19.0,0.626,0.478,0.67,Near (2-10 km),12.8
Kalaki,Eastern,2024,1348.8,30.5,18.4,0.653,0.464,0.69,Near (2-10 km),12.2
Kaliro,Eastern,2020,1328.9,28.6,17.1,0.676,0.497,0.828,"Very Near (Adjacent, 0-2 km)",6.4
Kaliro,Eastern,2021,1115.6,28.1,17.3,0.618,0.475,0.819,"Very Near (Adjacent, 0-2 km)",7.5
Kaliro,Eastern,2022,1371.1,28.8,17.0,0.602,0.479,0.798,"Very Near (Adjacent, 0-2 km)",7.1
Kaliro,Eastern,2023,1327.8,28.7,17.1,0.642,0.492,0.824,"Very Near (Adjacent, 0-2 km)",7.8
Kaliro,Eastern,2024,1370.6,28.6,16.3,0.639,0.5,0.834,"Very Near (Adjacent, 0-2 km)",5.8
Kamuli,Eastern,2020,1304.9,28.8,17.0,0.672,0.498,0.836,"Very Near (Adjacent, 0-2 km)",5.7
Kamuli,Eastern,2021,1409.0,29.2,17.1,0.68,0.492,0.815,"Very Near (Adjacent, 0-2 km)",6.2
Kamuli,Eastern,2022,1268.5,28.9,17.5,0.678,0.509,0.821,"Very Near (Adjacent, 0-2 km)",6.5
Kamuli,Eastern,2023,1244.5,29.2,18.2,0.669,0.489,0.824,"Very Near (Adjacent, 0-2 km)",7.8
Kamuli,Eastern,2024,1413.5,28.7,17.3,0.631,0.472,0.802,"Very Near (Adjacent, 0-2 km)",7.9
Kapchorwa,Eastern,2020,2228.9,27.8,16.2,0.814,0.693,0.821,"Very Near (Adjacent, 0-2 km)",6.3
Kapchorwa,Eastern,2021,1972.1,28.4,16.1,0.794,0.66,0.798,"Very Near (Adjacent, 0-2 km)",8.7
Kapchorwa,Eastern,2022,2204.0,27.8,16.0,0.782,0.641,0.824,"Very Near (Adjacent, 0-2 km)",7.0
Kapchorwa,Eastern,2023,2300.6,27.8,16.2,0.782,0.674,0.801,"Very Near (Adjacent, 0-2 km)",8.5
Kapchorwa,Eastern,2024,2158.4,28.0,16.5,0.806,0.672,0.813,"Very Near (Adjacent, 0-2 km)",7.0
Kapelebyong,Eastern,2020,1360.3,30.0,18.1,0.679,0.469,0.819,"Very Near (Adjacent, 0-2 km)",6.7
Kapelebyong,Eastern,2021,1508.0,30.2,18.5,0.711,0.488,0.735,Near (2-10 km),10.0
Kapelebyong,Eastern,2022,1416.2,30.5,19.0,0.661,0.536,0.824,"Very Near (Adjacent, 0-2 km)",7.3
Kapelebyong,Eastern,2023,1155.0,30.8,18.3,0.62,0.562,0.834,"Very Near (Adjacent, 0-2 km)",5.5
Kapelebyong,Eastern,2024,1620.7,30.9,18.1,0.622,0.519,0.81,"Very Near (Adjacent, 0-2 km)",8.3
Katakwi,Eastern,2020,1018.5,30.1,19.6,0.563,0.451,0.271,Far (>25 km),27.4
Katakwi,Eastern,2021,1166.9,30.3,18.7,0.597,0.47,0.282,Far (>25 km),26.4
Katakwi,Eastern,2022,1192.8,30.1,18.5,0.59,0.47,0.257,Far (>25 km),27.2
Katakwi,Eastern,2023,1332.9,30.3,17.5,0.627,0.44,0.273,Far (>25 km),27.6
Katakwi,Eastern,2024,1211.8,30.7,19.0,0.628,0.48,0.259,Far (>25 km),28.0
Kibuku,Eastern,2020,1444.3,30.0,17.5,0.705,0.537,0.807,"Very Near (Adjacent, 0-2 km)",7.8
Kibuku,Eastern,2021,1567.9,30.7,17.7,0.696,0.528,0.827,"Very Near (Adjacent, 0-2 km)",6.3
Kibuku,Eastern,2022,1288.5,29.7,17.5,0.652,0.479,0.831,"Very Near (Adjacent, 0-2 km)",5.3
Kibuku,Eastern,2023,1503.3,30.4,17.6,0.661,0.48,0.819,"Very Near (Adjacent, 0-2 km)",6.0
Kibuku,Eastern,2024,1494.4,30.5,17.5,0.715,0.507,0.801,"Very Near (Adjacent, 0-2 km)",7.7
Kumi,Eastern,2020,1225.9,29.9,19.2,0.645,0.485,0.587,Near (2-10 km),14.7
Kumi,Eastern,2021,1261.9,30.3,18.7,0.637,0.49,0.589,Near (2-10 km),15.3
Kumi,Eastern,2022,1546.1,30.7,18.4,0.679,0.497,0.617,Near (2-10 km),14.0
Kumi,Eastern,2023,1455.8,30.7,19.0,0.686,0.529,0.588,Near (2-10 km),16.3
Kumi,Eastern,2024,1335.0,30.8,18.8,0.674,0.532,0.616,Near (2-10 km),15.8
Kween,Eastern,2020,2029.3,28.5,16.4,0.796,0.639,0.799,"Very Near (Adjacent, 0-2 km)",6.8
