District,Region,IRS_Coverage_2020_pct,IRS_Data_Type_2020,IRS_Coverage_2021_pct,IRS_Data_Type_2021,IRS_Coverage_2022_pct,IRS_Data_Type_2022,IRS_Coverage_2023_pct,IRS_Data_Type_2023,IRS_Coverage_2024_pct,IRS_Data_Type_2024,Avg_Coverage_2020_2024_pct,Data_Source
Kiboga,Central,12.6,Estimated (background/local coverage),12.2,Estimated (background/local coverage),12.8,Estimated (background/local coverage),13.6,Estimated (background/local coverage),13.3,Estimated (background/local coverage),12.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kyankwanzi,Central,3.5,Estimated (background/local coverage),4.9,Estimated (background/local coverage),4.7,Estimated (background/local coverage),4.4,Estimated (background/local coverage),8.0,Estimated (background/local coverage),5.1,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kyotera,Central,10.1,Estimated (background/local coverage),11.8,Estimated (background/local coverage),10.5,Estimated (background/local coverage),13.1,Estimated (background/local coverage),10.8,Estimated (background/local coverage),11.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Luweero,Central,4.9,Estimated (background/local coverage),6.4,Estimated (background/local coverage),4.9,Estimated (background/local coverage),6.5,Estimated (background/local coverage),8.1,Estimated (background/local coverage),6.2,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Lwengo,Central,5.8,Estimated (background/local coverage),9.7,Estimated (background/local coverage),7.2,Estimated (background/local coverage),5.1,Estimated (background/local coverage),4.9,Estimated (background/local coverage),6.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Lyantonde,Central,5.5,Estimated (background/local coverage),6.3,Estimated (background/local coverage),4.5,Estimated (background/local coverage),2.7,Estimated (background/local coverage),4.3,Estimated (background/local coverage),4.7,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Masaka,Central,12.1,Estimated (background/local coverage),14.3,Estimated (background/local coverage),13.8,Estimated (background/local coverage),9.5,Estimated (background/local coverage),13.1,Estimated (background/local coverage),12.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Mityana,Central,9.6,Estimated (background/local coverage),8.3,Estimated (background/local coverage),10.2,Estimated (background/local coverage),7.5,Estimated (background/local coverage),9.1,Estimated (background/local coverage),8.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Mpigi,Central,9.9,Estimated (background/local coverage),9.5,Estimated (background/local coverage),6.4,Estimated (background/local coverage),7.6,Estimated (background/local coverage),6.0,Estimated (background/local coverage),7.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Mubende,Central,13.2,Estimated (background/local coverage),10.3,Estimated (background/local coverage),12.0,Estimated (background/local coverage),11.8,Estimated (background/local coverage),9.6,Estimated (background/local coverage),11.4,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Mukono,Central,10.3,Estimated (background/local coverage),11.5,Estimated (background/local coverage),10.3,Estimated (background/local coverage),7.6,Estimated (background/local coverage),9.2,Estimated (background/local coverage),9.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Nakaseke,Central,6.3,Estimated (background/local coverage),6.0,Estimated (background/local coverage),5.8,Estimated (background/local coverage),3.2,Estimated (background/local coverage),1.9,Estimated (background/local coverage),4.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Nakasongola,Central,13.3,Estimated (background/local coverage),9.0,Estimated (background/local coverage),11.0,Estimated (background/local coverage),8.9,Estimated (background/local coverage),12.3,Estimated (background/local coverage),10.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Rakai,Central,8.3,Estimated (background/local coverage),10.0,Estimated (background/local coverage),10.4,Estimated (background/local coverage),9.0,Estimated (background/local coverage),12.0,Estimated (background/local coverage),9.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Sembabule,Central,5.9,Estimated (background/local coverage),7.6,Estimated (background/local coverage),8.5,Estimated (background/local coverage),5.9,Estimated (background/local coverage),6.4,Estimated (background/local coverage),6.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Wakiso,Central,8.7,Estimated (background/local coverage),7.7,Estimated (background/local coverage),8.1,Estimated (background/local coverage),6.1,Estimated (background/local coverage),6.6,Estimated (background/local coverage),7.4,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Amuria,Eastern,15.2,Estimated (background/local coverage),13.4,Estimated (background/local coverage),13.3,Estimated (background/local coverage),12.6,Estimated (background/local coverage),15.4,Estimated (background/local coverage),14.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Budaka,Eastern,90.8,Confirmed (PMI/VectorLink campaign),95.8,Confirmed (PMI/VectorLink campaign),88.0,Confirmed (PMI/VectorLink campaign),88.2,Confirmed (PMI/VectorLink campaign),91.2,Confirmed (PMI/VectorLink campaign),90.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Bududa,Eastern,11.2,Estimated (background/local coverage),15.2,Estimated (background/local coverage),13.4,Estimated (background/local coverage),12.9,Estimated (background/local coverage),14.4,Estimated (background/local coverage),13.4,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Bugiri,Eastern,85.8,Confirmed (PMI/VectorLink campaign),90.5,Confirmed (PMI/VectorLink campaign),90.5,Confirmed (PMI/VectorLink campaign),89.5,Confirmed (PMI/VectorLink campaign),89.8,Confirmed (PMI/VectorLink campaign),89.2,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Bugweri,Eastern,21.1,Estimated (background/local coverage),22.6,Estimated (background/local coverage),18.2,Estimated (background/local coverage),19.7,Estimated (background/local coverage),19.4,Estimated (background/local coverage),20.2,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Bukedea,Eastern,20.8,Estimated (background/local coverage),20.5,Estimated (background/local coverage),21.8,Estimated (background/local coverage),21.7,Estimated (background/local coverage),21.0,Estimated (background/local coverage),21.2,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Bukwo,Eastern,15.6,Estimated (background/local coverage),13.2,Estimated (background/local coverage),15.3,Estimated (background/local coverage),13.7,Estimated (background/local coverage),11.3,Estimated (background/local coverage),13.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Bulambuli,Eastern,25.7,Estimated (background/local coverage),26.3,Estimated (background/local coverage),26.1,Estimated (background/local coverage),25.7,Estimated (background/local coverage),22.3,Estimated (background/local coverage),25.2,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Busia,Eastern,15.4,Estimated (background/local coverage),16.3,Estimated (background/local coverage),14.6,Estimated (background/local coverage),16.2,Estimated (background/local coverage),19.2,Estimated (background/local coverage),16.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Butaleja,Eastern,90.0,Confirmed (PMI/VectorLink campaign),93.0,Confirmed (PMI/VectorLink campaign),90.5,Confirmed (PMI/VectorLink campaign),93.2,Confirmed (PMI/VectorLink campaign),93.5,Confirmed (PMI/VectorLink campaign),92.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Butebo,Eastern,89.5,Confirmed (PMI/VectorLink campaign),90.9,Confirmed (PMI/VectorLink campaign),89.6,Confirmed (PMI/VectorLink campaign),93.3,Confirmed (PMI/VectorLink campaign),90.6,Confirmed (PMI/VectorLink campaign),90.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Buyende,Eastern,18.8,Estimated (background/local coverage),15.4,Estimated (background/local coverage),18.0,Estimated (background/local coverage),17.6,Estimated (background/local coverage),19.4,Estimated (background/local coverage),17.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Iganga,Eastern,14.5,Estimated (background/local coverage),10.1,Estimated (background/local coverage),10.6,Estimated (background/local coverage),12.7,Estimated (background/local coverage),13.1,Estimated (background/local coverage),12.2,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Jinja,Eastern,11.4,Estimated (background/local coverage),15.2,Estimated (background/local coverage),12.0,Estimated (background/local coverage),13.8,Estimated (background/local coverage),13.9,Estimated (background/local coverage),13.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kaberamaido,Eastern,88.6,Confirmed (PMI/VectorLink campaign),93.5,Confirmed (PMI/VectorLink campaign),18.0,Estimated (background/local coverage),14.4,Estimated (background/local coverage),17.0,Estimated (background/local coverage),46.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kalaki,Eastern,87.3,Confirmed (PMI/VectorLink campaign),14.2,Estimated (background/local coverage),12.3,Estimated (background/local coverage),12.4,Estimated (background/local coverage),14.6,Estimated (background/local coverage),28.2,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kaliro,Eastern,10.8,Estimated (background/local coverage),13.5,Estimated (background/local coverage),13.5,Estimated (background/local coverage),8.9,Estimated (background/local coverage),9.6,Estimated (background/local coverage),11.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kamuli,Eastern,15.9,Estimated (background/local coverage),15.6,Estimated (background/local coverage),15.6,Estimated (background/local coverage),13.1,Estimated (background/local coverage),12.0,Estimated (background/local coverage),14.4,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kapchorwa,Eastern,22.7,Estimated (background/local coverage),22.2,Estimated (background/local coverage),24.1,Estimated (background/local coverage),22.4,Estimated (background/local coverage),19.2,Estimated (background/local coverage),22.1,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kapelebyong,Eastern,20.4,Estimated (background/local coverage),22.3,Estimated (background/local coverage),23.6,Estimated (background/local coverage),19.6,Estimated (background/local coverage),19.5,Estimated (background/local coverage),21.1,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Katakwi,Eastern,11.8,Estimated (background/local coverage),10.4,Estimated (background/local coverage),12.0,Estimated (background/local coverage),12.6,Estimated (background/local coverage),10.0,Estimated (background/local coverage),11.4,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kibuku,Eastern,86.3,Confirmed (PMI/VectorLink campaign),93.2,Confirmed (PMI/VectorLink campaign),93.8,Confirmed (PMI/VectorLink campaign),92.4,Confirmed (PMI/VectorLink campaign),87.1,Confirmed (PMI/VectorLink campaign),90.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kumi,Eastern,14.8,Estimated (background/local coverage),13.4,Estimated (background/local coverage),17.3,Estimated (background/local coverage),16.6,Estimated (background/local coverage),14.7,Estimated (background/local coverage),15.4,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kween,Eastern,20.6,Estimated (background/local coverage),20.0,Estimated (background/local coverage),17.9,Estimated (background/local coverage),18.3,Estimated (background/local coverage),22.3,Estimated (background/local coverage),19.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Luuka,Eastern,22.9,Estimated (background/local coverage),24.3,Estimated (background/local coverage),23.1,Estimated (background/local coverage),20.9,Estimated (background/local coverage),20.8,Estimated (background/local coverage),22.4,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Manafwa,Eastern,16.3,Estimated (background/local coverage),15.8,Estimated (background/local coverage),16.1,Estimated (background/local coverage),16.3,Estimated (background/local coverage),12.9,Estimated (background/local coverage),15.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Mayuge,Eastern,11.5,Estimated (background/local coverage),14.9,Estimated (background/local coverage),15.4,Estimated (background/local coverage),13.0,Estimated (background/local coverage),14.1,Estimated (background/local coverage),13.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Mbale,Eastern,14.3,Estimated (background/local coverage),14.0,Estimated (background/local coverage),14.5,Estimated (background/local coverage),13.7,Estimated (background/local coverage),14.1,Estimated (background/local coverage),14.1,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Namayingo,Eastern,11.5,Estimated (background/local coverage),9.5,Estimated (background/local coverage),12.5,Estimated (background/local coverage),11.9,Estimated (background/local coverage),12.2,Estimated (background/local coverage),11.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Namisindwa,Eastern,20.2,Estimated (background/local coverage),22.8,Estimated (background/local coverage),19.4,Estimated (background/local coverage),23.2,Estimated (background/local coverage),23.1,Estimated (background/local coverage),21.7,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Namutumba,Eastern,90.2,Confirmed (PMI/VectorLink campaign),93.0,Confirmed (PMI/VectorLink campaign),89.6,Confirmed (PMI/VectorLink campaign),92.1,Confirmed (PMI/VectorLink campaign),88.1,Confirmed (PMI/VectorLink campaign),90.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Ngora,Eastern,8.8,Estimated (background/local coverage),9.5,Estimated (background/local coverage),12.2,Estimated (background/local coverage),12.7,Estimated (background/local coverage),9.2,Estimated (background/local coverage),10.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Pallisa,Eastern,87.3,Confirmed (PMI/VectorLink campaign),96.7,Confirmed (PMI/VectorLink campaign),91.3,Confirmed (PMI/VectorLink campaign),93.1,Confirmed (PMI/VectorLink campaign),87.3,Confirmed (PMI/VectorLink campaign),91.1,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Serere,Eastern,85.7,Confirmed (PMI/VectorLink campaign),96.5,Confirmed (PMI/VectorLink campaign),89.4,Confirmed (PMI/VectorLink campaign),87.3,Confirmed (PMI/VectorLink campaign),89.5,Confirmed (PMI/VectorLink campaign),89.7,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Sironko,Eastern,19.3,Estimated (background/local coverage),20.7,Estimated (background/local coverage),20.3,Estimated (background/local coverage),19.6,Estimated (background/local coverage),20.6,Estimated (background/local coverage),20.1,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Soroti,Eastern,14.6,Estimated (background/local coverage),11.1,Estimated (background/local coverage),15.7,Estimated (background/local coverage),13.8,Estimated (background/local coverage),14.7,Estimated (background/local coverage),14.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Tororo,Eastern,89.2,Confirmed (PMI/VectorLink campaign),92.3,Confirmed (PMI/VectorLink campaign),88.0,Confirmed (PMI/VectorLink campaign),91.1,Confirmed (PMI/VectorLink campaign),88.8,Confirmed (PMI/VectorLink campaign),89.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
