District,Region,Year,Elevation_m,Data_Source
Lyantonde,Central,2020,1400,"Estimated (regional topography pattern, no direct source found)"
Lyantonde,Central,2021,1400,"Estimated (regional topography pattern, no direct source found)"
Lyantonde,Central,2022,1400,"Estimated (regional topography pattern, no direct source found)"
Lyantonde,Central,2023,1400,"Estimated (regional topography pattern, no direct source found)"
Lyantonde,Central,2024,1400,"Estimated (regional topography pattern, no direct source found)"
Masaka,Central,2020,1300,"Estimated (regional topography pattern, no direct source found)"
Masaka,Central,2021,1300,"Estimated (regional topography pattern, no direct source found)"
Masaka,Central,2022,1300,"Estimated (regional topography pattern, no direct source found)"
Masaka,Central,2023,1300,"Estimated (regional topography pattern, no direct source found)"
Masaka,Central,2024,1300,"Estimated (regional topography pattern, no direct source found)"
Mityana,Central,2020,1300,"Estimated (regional topography pattern, no direct source found)"
Mityana,Central,2021,1300,"Estimated (regional topography pattern, no direct source found)"
Mityana,Central,2022,1300,"Estimated (regional topography pattern, no direct source found)"
Mityana,Central,2023,1300,"Estimated (regional topography pattern, no direct source found)"
Mityana,Central,2024,1300,"Estimated (regional topography pattern, no direct source found)"
Mpigi,Central,2020,1200,"Estimated (regional topography pattern, no direct source found)"
Mpigi,Central,2021,1200,"Estimated (regional topography pattern, no direct source found)"
Mpigi,Central,2022,1200,"Estimated (regional topography pattern, no direct source found)"
Mpigi,Central,2023,1200,"Estimated (regional topography pattern, no direct source found)"
Mpigi,Central,2024,1200,"Estimated (regional topography pattern, no direct source found)"
Mubende,Central,2020,1300,Confirmed (Wikipedia district/town infobox)
Mubende,Central,2021,1300,Confirmed (Wikipedia district/town infobox)
Mubende,Central,2022,1300,Confirmed (Wikipedia district/town infobox)
Mubende,Central,2023,1300,Confirmed (Wikipedia district/town infobox)
Mubende,Central,2024,1300,Confirmed (Wikipedia district/town infobox)
Mukono,Central,2020,1200,Confirmed (Wikipedia district/town infobox)
Mukono,Central,2021,1200,Confirmed (Wikipedia district/town infobox)
Mukono,Central,2022,1200,Confirmed (Wikipedia district/town infobox)
Mukono,Central,2023,1200,Confirmed (Wikipedia district/town infobox)
Mukono,Central,2024,1200,Confirmed (Wikipedia district/town infobox)
Nakaseke,Central,2020,1250,"Estimated (regional topography pattern, no direct source found)"
Nakaseke,Central,2021,1250,"Estimated (regional topography pattern, no direct source found)"
Nakaseke,Central,2022,1250,"Estimated (regional topography pattern, no direct source found)"
Nakaseke,Central,2023,1250,"Estimated (regional topography pattern, no direct source found)"
Nakaseke,Central,2024,1250,"Estimated (regional topography pattern, no direct source found)"
Nakasongola,Central,2020,1150,"Estimated (regional topography pattern, no direct source found)"
Nakasongola,Central,2021,1150,"Estimated (regional topography pattern, no direct source found)"
Nakasongola,Central,2022,1150,"Estimated (regional topography pattern, no direct source found)"
Nakasongola,Central,2023,1150,"Estimated (regional topography pattern, no direct source found)"
Nakasongola,Central,2024,1150,"Estimated (regional topography pattern, no direct source found)"
Rakai,Central,2020,1350,"Estimated (regional topography pattern, no direct source found)"
Rakai,Central,2021,1350,"Estimated (regional topography pattern, no direct source found)"
Rakai,Central,2022,1350,"Estimated (regional topography pattern, no direct source found)"
Rakai,Central,2023,1350,"Estimated (regional topography pattern, no direct source found)"
Rakai,Central,2024,1350,"Estimated (regional topography pattern, no direct source found)"
Sembabule,Central,2020,1350,"Estimated (regional topography pattern, no direct source found)"
Sembabule,Central,2021,1350,"Estimated (regional topography pattern, no direct source found)"
Sembabule,Central,2022,1350,"Estimated (regional topography pattern, no direct source found)"
Sembabule,Central,2023,1350,"Estimated (regional topography pattern, no direct source found)"
Sembabule,Central,2024,1350,"Estimated (regional topography pattern, no direct source found)"
Wakiso,Central,2020,1200,Confirmed (Wikipedia district/town infobox)
Wakiso,Central,2021,1200,Confirmed (Wikipedia district/town infobox)
Wakiso,Central,2022,1200,Confirmed (Wikipedia district/town infobox)
Wakiso,Central,2023,1200,Confirmed (Wikipedia district/town infobox)
Wakiso,Central,2024,1200,Confirmed (Wikipedia district/town infobox)
Amuria,Eastern,2020,1070,"Estimated (regional topography pattern, no direct source found)"
Amuria,Eastern,2021,1070,"Estimated (regional topography pattern, no direct source found)"
Amuria,Eastern,2022,1070,"Estimated (regional topography pattern, no direct source found)"
Amuria,Eastern,2023,1070,"Estimated (regional topography pattern, no direct source found)"
Amuria,Eastern,2024,1070,"Estimated (regional topography pattern, no direct source found)"
Budaka,Eastern,2020,1100,"Estimated (regional topography pattern, no direct source found)"
Budaka,Eastern,2021,1100,"Estimated (regional topography pattern, no direct source found)"
Budaka,Eastern,2022,1100,"Estimated (regional topography pattern, no direct source found)"
Budaka,Eastern,2023,1100,"Estimated (regional topography pattern, no direct source found)"
Budaka,Eastern,2024,1100,"Estimated (regional topography pattern, no direct source found)"
Bududa,Eastern,2020,1400,"Estimated (regional topography pattern, no direct source found)"
Bududa,Eastern,2021,1400,"Estimated (regional topography pattern, no direct source found)"
Bududa,Eastern,2022,1400,"Estimated (regional topography pattern, no direct source found)"
Bududa,Eastern,2023,1400,"Estimated (regional topography pattern, no direct source found)"
Bududa,Eastern,2024,1400,"Estimated (regional topography pattern, no direct source found)"
Bugiri,Eastern,2020,1150,"Estimated (regional topography pattern, no direct source found)"
Bugiri,Eastern,2021,1150,"Estimated (regional topography pattern, no direct source found)"
Bugiri,Eastern,2022,1150,"Estimated (regional topography pattern, no direct source found)"
Bugiri,Eastern,2023,1150,"Estimated (regional topography pattern, no direct source found)"
Bugiri,Eastern,2024,1150,"Estimated (regional topography pattern, no direct source found)"
Bugweri,Eastern,2020,1150,"Estimated (regional topography pattern, no direct source found)"
Bugweri,Eastern,2021,1150,"Estimated (regional topography pattern, no direct source found)"
Bugweri,Eastern,2022,1150,"Estimated (regional topography pattern, no direct source found)"
Bugweri,Eastern,2023,1150,"Estimated (regional topography pattern, no direct source found)"
Bugweri,Eastern,2024,1150,"Estimated (regional topography pattern, no direct source found)"
Bukedea,Eastern,2020,1080,"Estimated (regional topography pattern, no direct source found)"
Bukedea,Eastern,2021,1080,"Estimated (regional topography pattern, no direct source found)"
Bukedea,Eastern,2022,1080,"Estimated (regional topography pattern, no direct source found)"
Bukedea,Eastern,2023,1080,"Estimated (regional topography pattern, no direct source found)"
Bukedea,Eastern,2024,1080,"Estimated (regional topography pattern, no direct source found)"
Bukwo,Eastern,2020,1800,"Estimated (regional topography pattern, no direct source found)"
Bukwo,Eastern,2021,1800,"Estimated (regional topography pattern, no direct source found)"
Bukwo,Eastern,2022,1800,"Estimated (regional topography pattern, no direct source found)"
Bukwo,Eastern,2023,1800,"Estimated (regional topography pattern, no direct source found)"
Bukwo,Eastern,2024,1800,"Estimated (regional topography pattern, no direct source found)"
Bulambuli,Eastern,2020,1600,"Estimated (regional topography pattern, no direct source found)"
Bulambuli,Eastern,2021,1600,"Estimated (regional topography pattern, no direct source found)"
Bulambuli,Eastern,2022,1600,"Estimated (regional topography pattern, no direct source found)"
Bulambuli,Eastern,2023,1600,"Estimated (regional topography pattern, no direct source found)"
Bulambuli,Eastern,2024,1600,"Estimated (regional topography pattern, no direct source found)"
Busia,Eastern,2020,1150,"Estimated (regional topography pattern, no direct source found)"
Busia,Eastern,2021,1150,"Estimated (regional topography pattern, no direct source found)"
Busia,Eastern,2022,1150,"Estimated (regional topography pattern, no direct source found)"
Busia,Eastern,2023,1150,"Estimated (regional topography pattern, no direct source found)"
Busia,Eastern,2024,1150,"Estimated (regional topography pattern, no direct source found)"
Butaleja,Eastern,2020,1100,"Estimated (regional topography pattern, no direct source found)"
Butaleja,Eastern,2021,1100,"Estimated (regional topography pattern, no direct source found)"
Butaleja,Eastern,2022,1100,"Estimated (regional topography pattern, no direct source found)"
Butaleja,Eastern,2023,1100,"Estimated (regional topography pattern, no direct source found)"
Butaleja,Eastern,2024,1100,"Estimated (regional topography pattern, no direct source found)"
Butebo,Eastern,2020,1100,"Estimated (regional topography pattern, no direct source found)"
Butebo,Eastern,2021,1100,"Estimated (regional topography pattern, no direct source found)"
Butebo,Eastern,2022,1100,"Estimated (regional topography pattern, no direct source found)"
Butebo,Eastern,2023,1100,"Estimated (regional topography pattern, no direct source found)"
Butebo,Eastern,2024,1100,"Estimated (regional topography pattern, no direct source found)"
Buyende,Eastern,2020,1120,"Estimated (regional topography pattern, no direct source found)"
Buyende,Eastern,2021,1120,"Estimated (regional topography pattern, no direct source found)"
Buyende,Eastern,2022,1120,"Estimated (regional topography pattern, no direct source found)"
Buyende,Eastern,2023,1120,"Estimated (regional topography pattern, no direct source found)"
Buyende,Eastern,2024,1120,"Estimated (regional topography pattern, no direct source found)"
Iganga,Eastern,2020,1138,Confirmed (Wikipedia district/town infobox)
Iganga,Eastern,2021,1138,Confirmed (Wikipedia district/town infobox)
Iganga,Eastern,2022,1138,Confirmed (Wikipedia district/town infobox)
Iganga,Eastern,2023,1138,Confirmed (Wikipedia district/town infobox)
Iganga,Eastern,2024,1138,Confirmed (Wikipedia district/town infobox)
Jinja,Eastern,2020,1200,"Estimated (regional topography pattern, no direct source found)"
Jinja,Eastern,2021,1200,"Estimated (regional topography pattern, no direct source found)"
Jinja,Eastern,2022,1200,"Estimated (regional topography pattern, no direct source found)"
Jinja,Eastern,2023,1200,"Estimated (regional topography pattern, no direct source found)"
Jinja,Eastern,2024,1200,"Estimated (regional topography pattern, no direct source found)"
Kaberamaido,Eastern,2020,1030,"Estimated (regional topography pattern, no direct source found)"
Kaberamaido,Eastern,2021,1030,"Estimated (regional topography pattern, no direct source found)"
Kaberamaido,Eastern,2022,1030,"Estimated (regional topography pattern, no direct source found)"
Kaberamaido,Eastern,2023,1030,"Estimated (regional topography pattern, no direct source found)"
Kaberamaido,Eastern,2024,1030,"Estimated (regional topography pattern, no direct source found)"
Kalaki,Eastern,2020,1030,"Estimated (regional topography pattern, no direct source found)"
Kalaki,Eastern,2021,1030,"Estimated (regional topography pattern, no direct source found)"
Kalaki,Eastern,2022,1030,"Estimated (regional topography pattern, no direct source found)"
Kalaki,Eastern,2023,1030,"Estimated (regional topography pattern, no direct source found)"
Kalaki,Eastern,2024,1030,"Estimated (regional topography pattern, no direct source found)"
Kaliro,Eastern,2020,1100,"Estimated (regional topography pattern, no direct source found)"
Kaliro,Eastern,2021,1100,"Estimated (regional topography pattern, no direct source found)"
Kaliro,Eastern,2022,1100,"Estimated (regional topography pattern, no direct source found)"
Kaliro,Eastern,2023,1100,"Estimated (regional topography pattern, no direct source found)"
Kaliro,Eastern,2024,1100,"Estimated (regional topography pattern, no direct source found)"
Kamuli,Eastern,2020,1150,"Estimated (regional topography pattern, no direct source found)"
Kamuli,Eastern,2021,1150,"Estimated (regional topography pattern, no direct source found)"
Kamuli,Eastern,2022,1150,"Estimated (regional topography pattern, no direct source found)"
Kamuli,Eastern,2023,1150,"Estimated (regional topography pattern, no direct source found)"
Kamuli,Eastern,2024,1150,"Estimated (regional topography pattern, no direct source found)"
Kapchorwa,Eastern,2020,1900,"Estimated (regional topography pattern, no direct source found)"
Kapchorwa,Eastern,2021,1900,"Estimated (regional topography pattern, no direct source found)"
Kapchorwa,Eastern,2022,1900,"Estimated (regional topography pattern, no direct source found)"
Kapchorwa,Eastern,2023,1900,"Estimated (regional topography pattern, no direct source found)"
Kapchorwa,Eastern,2024,1900,"Estimated (regional topography pattern, no direct source found)"
Kapelebyong,Eastern,2020,1070,"Estimated (regional topography pattern, no direct source found)"
Kapelebyong,Eastern,2021,1070,"Estimated (regional topography pattern, no direct source found)"
Kapelebyong,Eastern,2022,1070,"Estimated (regional topography pattern, no direct source found)"
Kapelebyong,Eastern,2023,1070,"Estimated (regional topography pattern, no direct source found)"
Kapelebyong,Eastern,2024,1070,"Estimated (regional topography pattern, no direct source found)"
Katakwi,Eastern,2020,1070,"Estimated (regional topography pattern, no direct source found)"
Katakwi,Eastern,2021,1070,"Estimated (regional topography pattern, no direct source found)"
Katakwi,Eastern,2022,1070,"Estimated (regional topography pattern, no direct source found)"
Katakwi,Eastern,2023,1070,"Estimated (regional topography pattern, no direct source found)"
Katakwi,Eastern,2024,1070,"Estimated (regional topography pattern, no direct source found)"
Kibuku,Eastern,2020,1100,"Estimated (regional topography pattern, no direct source found)"
Kibuku,Eastern,2021,1100,"Estimated (regional topography pattern, no direct source found)"
Kibuku,Eastern,2022,1100,"Estimated (regional topography pattern, no direct source found)"
Kibuku,Eastern,2023,1100,"Estimated (regional topography pattern, no direct source found)"
Kibuku,Eastern,2024,1100,"Estimated (regional topography pattern, no direct source found)"
Kumi,Eastern,2020,1080,"Estimated (regional topography pattern, no direct source found)"
Kumi,Eastern,2021,1080,"Estimated (regional topography pattern, no direct source found)"
Kumi,Eastern,2022,1080,"Estimated (regional topography pattern, no direct source found)"
Kumi,Eastern,2023,1080,"Estimated (regional topography pattern, no direct source found)"
Kumi,Eastern,2024,1080,"Estimated (regional topography pattern, no direct source found)"
Kween,Eastern,2020,2000,"Estimated (regional topography pattern, no direct source found)"
Kween,Eastern,2021,2000,"Estimated (regional topography pattern, no direct source found)"
Kween,Eastern,2022,2000,"Estimated (regional topography pattern, no direct source found)"
Kween,Eastern,2023,2000,"Estimated (regional topography pattern, no direct source found)"
Kween,Eastern,2024,2000,"Estimated (regional topography pattern, no direct source found)"
Luuka,Eastern,2020,1150,"Estimated (regional topography pattern, no direct source found)"
Luuka,Eastern,2021,1150,"Estimated (regional topography pattern, no direct source found)"
Luuka,Eastern,2022,1150,"Estimated (regional topography pattern, no direct source found)"
Luuka,Eastern,2023,1150,"Estimated (regional topography pattern, no direct source found)"
Luuka,Eastern,2024,1150,"Estimated (regional topography pattern, no direct source found)"
Manafwa,Eastern,2020,1350,"Estimated (regional topography pattern, no direct source found)"
Manafwa,Eastern,2021,1350,"Estimated (regional topography pattern, no direct source found)"
Manafwa,Eastern,2022,1350,"Estimated (regional topography pattern, no direct source found)"
Manafwa,Eastern,2023,1350,"Estimated (regional topography pattern, no direct source found)"
Manafwa,Eastern,2024,1350,"Estimated (regional topography pattern, no direct source found)"
Mayuge,Eastern,2020,1150,"Estimated (regional topography pattern, no direct source found)"
Mayuge,Eastern,2021,1150,"Estimated (regional topography pattern, no direct source found)"
Mayuge,Eastern,2022,1150,"Estimated (regional topography pattern, no direct source found)"
Mayuge,Eastern,2023,1150,"Estimated (regional topography pattern, no direct source found)"
Mayuge,Eastern,2024,1150,"Estimated (regional topography pattern, no direct source found)"
Mbale,Eastern,2020,1200,"Estimated (regional topography pattern, no direct source found)"
Mbale,Eastern,2021,1200,"Estimated (regional topography pattern, no direct source found)"
Mbale,Eastern,2022,1200,"Estimated (regional topography pattern, no direct source found)"
Mbale,Eastern,2023,1200,"Estimated (regional topography pattern, no direct source found)"
Mbale,Eastern,2024,1200,"Estimated (regional topography pattern, no direct source found)"
Namayingo,Eastern,2020,1200,Confirmed (Wikipedia district/town infobox)
Namayingo,Eastern,2021,1200,Confirmed (Wikipedia district/town infobox)
Namayingo,Eastern,2022,1200,Confirmed (Wikipedia district/town infobox)
Namayingo,Eastern,2023,1200,Confirmed (Wikipedia district/town infobox)
Namayingo,Eastern,2024,1200,Confirmed (Wikipedia district/town infobox)
Namisindwa,Eastern,2020,1300,"Estimated (regional topography pattern, no direct source found)"
Namisindwa,Eastern,2021,1300,"Estimated (regional topography pattern, no direct source found)"
Namisindwa,Eastern,2022,1300,"Estimated (regional topography pattern, no direct source found)"
Namisindwa,Eastern,2023,1300,"Estimated (regional topography pattern, no direct source found)"
Namisindwa,Eastern,2024,1300,"Estimated (regional topography pattern, no direct source found)"
Namutumba,Eastern,2020,1150,"Estimated (regional topography pattern, no direct source found)"
Namutumba,Eastern,2021,1150,"Estimated (regional topography pattern, no direct source found)"
Namutumba,Eastern,2022,1150,"Estimated (regional topography pattern, no direct source found)"
Namutumba,Eastern,2023,1150,"Estimated (regional topography pattern, no direct source found)"
Namutumba,Eastern,2024,1150,"Estimated (regional topography pattern, no direct source found)"
Ngora,Eastern,2020,1080,"Estimated (regional topography pattern, no direct source found)"
Ngora,Eastern,2021,1080,"Estimated (regional topography pattern, no direct source found)"
Ngora,Eastern,2022,1080,"Estimated (regional topography pattern, no direct source found)"
Ngora,Eastern,2023,1080,"Estimated (regional topography pattern, no direct source found)"
Ngora,Eastern,2024,1080,"Estimated (regional topography pattern, no direct source found)"
Pallisa,Eastern,2020,1100,"Estimated (regional topography pattern, no direct source found)"
Pallisa,Eastern,2021,1100,"Estimated (regional topography pattern, no direct source found)"
Pallisa,Eastern,2022,1100,"Estimated (regional topography pattern, no direct source found)"
Pallisa,Eastern,2023,1100,"Estimated (regional topography pattern, no direct source found)"
Pallisa,Eastern,2024,1100,"Estimated (regional topography pattern, no direct source found)"
Serere,Eastern,2020,1050,"Estimated (regional topography pattern, no direct source found)"
Serere,Eastern,2021,1050,"Estimated (regional topography pattern, no direct source found)"
Serere,Eastern,2022,1050,"Estimated (regional topography pattern, no direct source found)"
Serere,Eastern,2023,1050,"Estimated (regional topography pattern, no direct source found)"
Serere,Eastern,2024,1050,"Estimated (regional topography pattern, no direct source found)"
Sironko,Eastern,2020,1500,"Estimated (regional topography pattern, no direct source found)"
Sironko,Eastern,2021,1500,"Estimated (regional topography pattern, no direct source found)"
Sironko,Eastern,2022,1500,"Estimated (regional topography pattern, no direct source found)"
Sironko,Eastern,2023,1500,"Estimated (regional topography pattern, no direct source found)"
Sironko,Eastern,2024,1500,"Estimated (regional topography pattern, no direct source found)"
Soroti,Eastern,2020,1130,"Estimated (regional topography pattern, no direct source found)"
Soroti,Eastern,2021,1130,"Estimated (regional topography pattern, no direct source found)"
Soroti,Eastern,2022,1130,"Estimated (regional topography pattern, no direct source found)"
Soroti,Eastern,2023,1130,"Estimated (regional topography pattern, no direct source found)"
Soroti,Eastern,2024,1130,"Estimated (regional topography pattern, no direct source found)"
Tororo,Eastern,2020,1200,"Estimated (regional topography pattern, no direct source found)"
Tororo,Eastern,2021,1200,"Estimated (regional topography pattern, no direct source found)"
Tororo,Eastern,2022,1200,"Estimated (regional topography pattern, no direct source found)"
Tororo,Eastern,2023,1200,"Estimated (regional topography pattern, no direct source found)"
Tororo,Eastern,2024,1200,"Estimated (regional topography pattern, no direct source found)"
Abim,Northern,2020,1050,"Estimated (regional topography pattern, no direct source found)"
Abim,Northern,2021,1050,"Estimated (regional topography pattern, no direct source found)"
Abim,Northern,2022,1050,"Estimated (regional topography pattern, no direct source found)"
Abim,Northern,2023,1050,"Estimated (regional topography pattern, no direct source found)"
Abim,Northern,2024,1050,"Estimated (regional topography pattern, no direct source found)"
Adjumani,Northern,2020,900,"Estimated (regional topography pattern, no direct source found)"
Adjumani,Northern,2021,900,"Estimated (regional topography pattern, no direct source found)"
Adjumani,Northern,2022,900,"Estimated (regional topography pattern, no direct source found)"
Adjumani,Northern,2023,900,"Estimated (regional topography pattern, no direct source found)"
Adjumani,Northern,2024,900,"Estimated (regional topography pattern, no direct source found)"
Agago,Northern,2020,1150,"Estimated (regional topography pattern, no direct source found)"
Agago,Northern,2021,1150,"Estimated (regional topography pattern, no direct source found)"
Agago,Northern,2022,1150,"Estimated (regional topography pattern, no direct source found)"
Agago,Northern,2023,1150,"Estimated (regional topography pattern, no direct source found)"
Agago,Northern,2024,1150,"Estimated (regional topography pattern, no direct source found)"
Alebtong,Northern,2020,1100,Confirmed (Wikipedia district/town infobox)
Alebtong,Northern,2021,1100,Confirmed (Wikipedia district/town infobox)
Alebtong,Northern,2022,1100,Confirmed (Wikipedia district/town infobox)
Alebtong,Northern,2023,1100,Confirmed (Wikipedia district/town infobox)
Alebtong,Northern,2024,1100,Confirmed (Wikipedia district/town infobox)
Amolatar,Northern,2020,1000,"Estimated (regional topography pattern, no direct source found)"
Amolatar,Northern,2021,1000,"Estimated (regional topography pattern, no direct source found)"
Amolatar,Northern,2022,1000,"Estimated (regional topography pattern, no direct source found)"
Amolatar,Northern,2023,1000,"Estimated (regional topography pattern, no direct source found)"
Amolatar,Northern,2024,1000,"Estimated (regional topography pattern, no direct source found)"
Amudat,Northern,2020,1350,"Estimated (regional topography pattern, no direct source found)"
Amudat,Northern,2021,1350,"Estimated (regional topography pattern, no direct source found)"
Amudat,Northern,2022,1350,"Estimated (regional topography pattern, no direct source found)"
Amudat,Northern,2023,1350,"Estimated (regional topography pattern, no direct source found)"
Amudat,Northern,2024,1350,"Estimated (regional topography pattern, no direct source found)"
Amuru,Northern,2020,1050,"Estimated (regional topography pattern, no direct source found)"
Amuru,Northern,2021,1050,"Estimated (regional topography pattern, no direct source found)"
Amuru,Northern,2022,1050,"Estimated (regional topography pattern, no direct source found)"
Amuru,Northern,2023,1050,"Estimated (regional topography pattern, no direct source found)"
Amuru,Northern,2024,1050,"Estimated (regional topography pattern, no direct source found)"
Apac,Northern,2020,1010,"Estimated (regional topography pattern, no direct source found)"
Apac,Northern,2021,1010,"Estimated (regional topography pattern, no direct source found)"
Apac,Northern,2022,1010,"Estimated (regional topography pattern, no direct source found)"
Apac,Northern,2023,1010,"Estimated (regional topography pattern, no direct source found)"
Apac,Northern,2024,1010,"Estimated (regional topography pattern, no direct source found)"
Arua,Northern,2020,1300,"Estimated (regional topography pattern, no direct source found)"
Arua,Northern,2021,1300,"Estimated (regional topography pattern, no direct source found)"
Arua,Northern,2022,1300,"Estimated (regional topography pattern, no direct source found)"
Arua,Northern,2023,1300,"Estimated (regional topography pattern, no direct source found)"
Arua,Northern,2024,1300,"Estimated (regional topography pattern, no direct source found)"
Dokolo,Northern,2020,1030,"Estimated (regional topography pattern, no direct source found)"
Dokolo,Northern,2021,1030,"Estimated (regional topography pattern, no direct source found)"
Dokolo,Northern,2022,1030,"Estimated (regional topography pattern, no direct source found)"
Dokolo,Northern,2023,1030,"Estimated (regional topography pattern, no direct source found)"
Dokolo,Northern,2024,1030,"Estimated (regional topography pattern, no direct source found)"
Gulu,Northern,2020,1100,"Estimated (regional topography pattern, no direct source found)"
Gulu,Northern,2021,1100,"Estimated (regional topography pattern, no direct source found)"
Gulu,Northern,2022,1100,"Estimated (regional topography pattern, no direct source found)"
Gulu,Northern,2023,1100,"Estimated (regional topography pattern, no direct source found)"
Gulu,Northern,2024,1100,"Estimated (regional topography pattern, no direct source found)"
